,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.66,1.25,0.8,1.48,1.45,1.21,0.63,0.65,0.54,0.45,0.52,0.57,0.49,0.72,0.51,0.45
d_1,1.42,0.65,1.4,1.23,1.26,1.14,0.57,0.42,0.65,0.48,0.47,0.42,0.36,0.42,0.42,0.25
f_1,1.66,1.19,0.65,1.35,1.12,1.03,0.45,0.64,0.56,0.45,0.43,0.58,0.27,0.4,0.41,0.43
c_1,1.1,1.72,1.38,0.63,1.74,1.14,0.66,0.59,0.32,0.63,0.43,0.47,0.44,0.42,0.45,0.35
b_1,1.38,1.48,1.84,0.85,0.62,1.85,0.65,0.67,0.55,0.69,0.88,0.5,0.45,0.55,0.43,0.45
a_1,1.87,1.64,1.94,1.7,0.86,0.58,0.8,0.73,0.58,0.65,0.71,0.66,0.46,0.54,1.1,0.5
h_1,1.97,2.02,2.19,2.04,1.92,1.67,0.57,1.01,0.75,0.73,0.68,0.78,0.83,0.74,0.7,0.57
g_1,1.92,2.13,2.39,2.03,2.06,1.87,0.75,0.57,0.77,0.77,0.79,0.86,0.46,0.66,0.71,0.7
d_0,1.43,3.37,2.12,2.48,2.1,2.12,1.13,1.04,0.61,0.9,0.7,0.75,0.64,0.67,0.66,0.65
c_0,2.42,1.43,2.4,3.83,2.08,1.87,1.03,1.02,1.08,0.6,0.93,0.85,0.67,0.81,0.82,0.71
b_0,2.41,1.91,2.31,2.83,2.64,1.85,1.14,1.07,1.15,0.56,0.58,0.93,0.67,0.78,0.82,0.69
f_0,1.87,2.26,4.43,2.37,2.33,2.2,1.04,0.7,0.87,0.86,0.87,0.58,0.7,0.99,0.68,0.5
h_0,2.31,2.42,3.4,2.4,2.35,2.17,1.39,1.33,0.95,0.85,0.89,0.85,1.02,0.8,0.71,0.7
e_0,2.67,2.61,4.08,3.12,2.61,2.13,1.1,1.17,0.97,0.93,0.92,0.55,0.72,0.56,0.86,0.62
a_0,2.45,2.5,2.71,3.63,4.34,2.67,1.3,1.26,1.24,0.75,0.58,1.07,0.86,0.82,0.55,0.76
g_0,2.54,3.04,2.79,3.35,2.79,2.46,1.01,1.48,1.0,1.11,1.06,0.98,0.72,0.89,0.83,1.03
