,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,21.61,44.94,41.55,32.46,35.26,10.86,5.47,7.38,4.7,5.94,7.73,4.76,5.28,,6.4
f_1,32.13,0.44,24.52,38.18,43.19,42.16,5.72,7.79,8.46,6.02,9.44,,2.91,10.33,7.08,4.59
c_1,29.2,41.05,0.43,64.37,29.95,25.4,8.02,4.02,11.91,,6.87,8.3,4.94,7.91,5.55,4.31
d_1,34.11,31.09,45.57,0.43,34.73,48.82,8.97,,7.18,7.08,5.21,9.49,4.37,5.34,7.18,3.41
b_1,40.74,32.67,18.37,36.31,0.4,39.88,11.08,7.4,12.9,9.98,,6.28,5.39,7.69,12.08,6.15
a_1,55.72,44.06,45.47,62.91,20.73,0.33,9.69,11.32,12.25,6.76,15.43,8.67,10.17,,7.43,9.37
h_1,26.52,19.23,18.12,19.06,20.25,16.95,0.36,2.41,5.48,3.33,3.43,3.29,,6.05,2.41,4.03
d_0,9.94,15.12,15.01,,15.68,13.78,5.19,0.48,4.11,3.1,2.74,2.76,2.63,2.7,3.41,2.4
g_1,25.09,19.87,20.88,17.31,21.9,21.54,4.37,6.08,0.33,4.76,5.08,2.99,1.98,5.5,5.28,
c_0,17.84,17.08,,6.9,18.74,18.59,4.96,4.46,4.65,0.48,3.63,2.93,1.89,2.48,3.44,2.61
b_0,13.46,17.31,22.69,19.1,,14.79,4.51,2.77,4.18,2.6,0.46,4.47,2.22,3.96,3.58,1.61
f_0,15.85,,18.0,14.56,17.9,17.02,8.73,3.16,3.12,3.73,2.7,0.45,2.49,5.37,3.55,1.64
h_0,13.63,13.81,13.01,11.82,11.71,13.17,,2.17,4.26,2.71,3.57,2.53,,2.24,1.99,1.14
a_0,16.5,17.61,18.76,15.23,24.36,,6.29,7.9,6.39,3.18,2.84,3.17,3.45,0.41,,2.91
e_0,,34.52,19.22,26.11,19.89,17.97,4.29,4.48,5.09,5.56,3.58,2.17,2.84,,0.39,2.54
g_0,17.34,12.69,15.06,14.35,14.35,16.14,2.71,5.12,,3.12,2.78,2.85,1.33,2.15,2.37,
