,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.07,2.69,2.7,2.43,2.18,1.9,0.59,0.45,0.71,0.43,0.44,0.46,0.31,0.47,0.23,0.41
f_1,2.28,1.08,2.33,2.62,2.34,2.33,0.51,0.68,0.51,0.44,0.46,0.6,0.26,0.4,0.35,0.42
e_1,2.75,1.58,1.09,2.63,2.3,2.41,0.68,0.75,0.55,0.55,0.56,0.59,0.34,0.53,0.4,0.56
c_1,3.82,2.91,2.45,1.1,2.74,2.58,0.76,0.81,0.36,0.71,0.56,0.58,0.44,0.49,0.42,0.54
b_1,3.36,3.51,2.99,1.87,1.11,3.12,0.93,0.89,0.65,0.86,1.04,0.65,0.52,0.64,0.47,0.65
a_1,4.25,5.21,4.39,4.74,2.35,1.12,1.61,1.46,1.13,1.05,1.16,0.81,0.77,1.55,0.65,0.83
h_1,8.85,9.52,9.41,9.48,9.11,8.13,1.53,2.8,2.06,1.69,1.95,1.73,2.12,1.74,1.4,1.64
g_1,10.78,11.48,10.65,10.12,11.61,9.48,2.29,1.57,2.43,2.28,2.39,2.29,1.27,2.07,1.94,2.05
d_0,14.5,10.76,7.27,12.62,11.27,10.62,3.7,3.48,1.81,2.7,2.78,2.29,2.01,2.14,1.76,2.65
c_0,7.29,12.15,12.79,20.6,12.8,10.73,3.44,3.23,3.5,1.78,2.7,2.56,1.9,2.21,1.69,2.46
b_0,10.53,13.68,12.06,18.42,15.63,10.79,3.82,3.43,2.82,1.52,1.78,2.61,1.69,2.28,1.66,2.06
f_0,13.63,17.94,14.58,13.67,14.87,15.18,4.4,2.92,3.1,3.13,3.2,1.86,2.22,2.78,1.42,3.56
h_0,16.68,18.04,18.72,17.76,19.79,16.19,6.47,4.77,3.9,3.4,3.49,3.7,2.95,3.08,2.68,3.08
a_0,18.18,23.34,20.68,19.39,17.98,21.12,5.63,6.02,4.48,3.42,2.55,3.39,2.78,2.04,2.51,3.08
g_0,21.12,23.19,22.51,22.3,20.23,19.83,5.52,8.73,4.6,4.53,4.62,4.7,2.64,4.06,3.39,4.68
e_0,20.76,30.01,27.36,22.99,23.72,19.43,5.87,4.77,4.43,3.7,4.84,2.43,3.54,4.37,2.79,2.31
