,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.9,0.25,0.18,0.14,0.17,0.15,0.18,0.17,0.11,0.39,0.22,0.19,0.21,0.14,0.17,0.13
f_1,0.22,0.9,0.4,0.19,0.14,0.09,0.19,0.16,0.19,0.18,0.16,0.07,0.19,0.12,0.17,0.06
e_1,0.2,0.23,0.9,0.21,0.19,0.12,0.2,0.14,0.36,0.21,0.19,0.16,0.18,0.13,0.15,0.05
c_1,0.22,0.2,0.2,0.89,0.32,0.1,0.21,0.18,0.19,0.06,0.12,0.18,0.2,0.12,0.13,0.1
b_1,0.24,0.22,0.22,0.2,0.88,0.24,0.15,0.14,0.18,0.17,0.08,0.18,0.17,0.11,0.17,0.11
a_1,0.26,0.22,0.21,0.2,0.16,0.88,0.21,0.19,0.19,0.19,0.21,0.17,0.19,0.07,0.18,0.13
h_1,0.31,0.4,0.23,0.25,0.19,0.12,0.57,0.28,0.25,0.22,0.2,0.18,0.16,0.16,0.22,0.15
g_1,0.44,0.26,0.23,0.24,0.21,0.12,0.22,0.57,0.2,0.24,0.21,0.27,0.23,0.13,0.09,0.15
d_0,0.19,0.27,0.26,0.46,0.2,0.13,0.25,0.21,0.45,0.2,0.23,0.15,0.23,0.12,0.18,0.17
c_0,0.33,0.32,0.26,0.15,0.18,0.14,0.29,0.19,0.27,0.43,0.45,0.2,0.25,0.2,0.18,0.18
b_0,0.33,0.34,0.26,0.25,0.12,0.14,0.27,0.2,0.21,0.24,0.46,0.18,0.28,0.31,0.23,0.13
f_0,0.34,0.2,0.23,0.21,0.21,0.16,0.24,0.2,0.27,0.28,0.25,0.44,0.23,0.19,0.21,0.35
h_0,0.32,0.43,0.29,0.21,0.19,0.11,0.13,0.25,0.2,0.24,0.26,0.18,0.17,0.15,0.26,0.11
a_0,0.28,0.34,0.29,0.26,0.2,0.06,0.26,0.19,0.28,0.3,0.26,0.18,0.28,0.4,0.2,0.12
g_0,0.44,0.23,0.25,0.25,0.19,0.12,0.19,0.14,0.2,0.26,0.24,0.31,0.24,0.16,0.14,0.16
e_0,0.37,0.32,0.18,0.22,0.24,0.15,0.24,0.22,0.23,0.23,0.29,0.19,0.29,0.16,0.2,0.39
