,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,3.53,3.88,3.15,3.54,3.15,1.68,1.46,1.53,2.64,2.02,,1.34,0.89,1.45,2.0
c_1,3.24,0.41,3.75,4.06,6.52,4.18,1.46,0.94,,2.08,1.84,1.4,1.79,1.17,1.57,1.45
e_1,2.44,3.55,0.4,3.91,3.37,3.99,1.93,1.67,1.81,2.02,1.73,1.56,1.24,1.37,,1.47
b_1,3.96,2.18,3.13,0.39,3.71,4.63,2.6,1.58,1.77,2.2,,1.42,1.75,1.31,1.5,1.15
d_1,3.75,3.06,4.1,3.04,0.38,2.71,1.52,,2.36,1.1,1.66,1.63,2.15,1.49,1.77,1.04
a_1,3.97,3.31,4.53,2.54,3.87,0.32,2.04,1.57,1.3,1.73,1.7,1.59,,1.65,1.76,1.3
h_1,1.72,2.43,1.66,1.59,1.87,1.6,0.25,0.78,0.82,1.06,0.9,0.73,0.94,,,0.62
d_0,2.03,1.53,1.09,2.02,,1.72,0.83,0.3,0.78,0.77,0.53,0.68,0.63,0.49,0.84,0.56
c_0,1.49,,1.55,1.65,0.9,1.71,0.82,0.72,0.28,0.92,0.73,0.93,0.73,0.69,0.73,0.56
g_1,1.52,1.61,1.85,1.49,2.56,2.31,0.8,0.94,0.88,0.23,0.79,0.89,0.84,0.72,,
b_0,1.29,2.03,1.31,,1.54,1.82,0.72,1.1,0.48,0.75,0.26,0.57,1.19,0.54,0.7,0.75
f_0,,1.81,2.08,1.46,1.41,1.5,1.09,0.7,0.59,0.59,0.76,0.25,,0.64,0.84,0.41
a_0,1.75,1.9,2.04,1.5,1.11,,0.83,1.07,0.66,0.84,0.35,,0.22,0.76,,0.57
h_0,1.48,1.27,1.28,1.47,1.2,1.28,,0.54,0.51,0.59,0.67,0.58,0.41,,0.54,0.54
e_0,1.88,1.66,,1.43,1.48,1.29,,0.7,0.66,,0.7,0.46,,0.66,0.21,0.47
g_0,1.33,1.21,1.55,1.61,1.58,1.17,0.56,0.6,0.54,,0.43,0.63,0.65,0.43,0.52,
