,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.77,1.13,0.92,0.65,0.55,0.58,0.45,0.43,0.41,0.43,0.35,0.35,0.37,0.35
d_1,1.14,1.0,1.05,0.9,0.85,0.64,0.48,0.49,0.37,0.54,0.44,0.41,0.33,0.32,0.31,0.28
f_1,1.29,0.94,1.0,0.95,0.87,0.66,0.41,0.44,0.48,0.38,0.39,0.36,0.33,0.34,0.27,0.31
c_1,0.88,1.1,1.07,1.0,1.31,0.75,0.55,0.35,0.46,0.4,0.33,0.4,0.33,0.32,0.34,0.35
b_1,1.07,1.18,1.14,0.77,1.0,1.39,0.57,0.47,0.53,0.55,0.42,0.42,0.43,0.3,0.36,0.36
a_1,1.56,1.58,1.52,1.3,0.73,1.0,0.75,0.63,0.69,0.61,0.64,0.54,0.5,0.52,0.46,0.47
h_1,1.88,2.04,2.49,1.83,1.72,1.27,1.0,0.78,1.03,0.82,0.77,0.69,0.68,0.67,0.58,0.67
d_0,1.74,2.11,2.11,2.95,2.09,1.69,1.33,1.0,1.08,0.77,0.89,0.77,0.82,0.76,0.62,0.72
g_1,2.18,2.56,2.09,2.15,1.95,1.46,0.99,0.92,1.0,0.95,0.85,1.06,0.62,0.67,0.74,0.73
c_0,2.26,1.89,2.65,2.5,1.79,1.61,1.24,1.34,1.08,1.0,1.32,0.92,0.92,0.86,0.73,0.67
b_0,2.52,2.19,2.55,3.08,2.22,1.51,1.3,1.12,1.22,0.77,1.0,0.98,0.93,1.19,0.78,0.75
f_0,2.39,2.58,2.76,2.57,2.24,1.89,1.35,1.33,0.92,1.1,0.98,1.0,0.82,0.95,1.23,0.72
h_0,2.88,2.98,3.06,3.07,2.37,1.9,1.49,1.22,1.6,1.14,1.08,1.15,1.0,0.85,0.8,1.07
a_0,2.97,3.14,2.88,3.16,3.4,1.87,1.47,1.31,1.58,1.11,0.85,1.11,1.16,1.0,0.95,0.9
e_0,2.89,3.32,3.86,3.01,2.87,2.08,1.88,1.58,1.37,1.29,1.32,0.85,1.25,1.09,1.0,1.03
g_0,2.92,3.71,3.08,2.96,2.65,1.99,1.48,1.4,1.33,1.56,1.3,1.39,0.92,1.14,0.92,1.01
