,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.31,0.9,0.74,0.97,0.81,0.64,1.31,1.45,1.54,2.92,1.57,1.74,2.31,1.52,0.86,2.15
f_1,1.45,2.34,0.75,0.8,0.69,0.57,1.38,1.25,1.49,1.63,1.55,0.91,1.93,1.19,1.0,1.53
d_1,0.79,0.93,2.48,0.59,0.63,0.74,1.68,1.51,3.17,1.01,1.98,1.75,2.27,1.87,1.5,2.39
c_1,0.72,0.83,0.77,2.54,1.5,0.59,1.32,1.32,0.78,1.78,1.16,1.47,1.95,1.13,1.55,1.59
b_1,0.84,0.89,0.72,0.78,2.61,1.23,1.38,1.34,1.55,1.76,1.07,1.52,2.04,1.12,1.55,1.6
a_1,0.93,0.8,0.88,0.81,0.68,3.06,1.91,1.41,1.93,1.88,1.86,1.7,2.43,1.1,1.67,1.81
h_1,0.97,1.2,1.06,0.81,0.64,0.67,3.38,1.87,1.92,1.65,1.67,1.99,1.68,1.6,1.38,2.82
g_1,0.84,0.77,1.32,0.84,0.74,0.76,1.53,3.46,2.06,1.59,1.88,3.06,2.24,1.42,1.76,1.45
c_0,0.93,1.09,1.06,0.67,0.66,0.66,1.87,1.61,3.18,1.75,3.23,1.9,2.46,2.25,1.79,2.61
d_0,0.92,1.05,0.58,1.64,0.93,0.66,1.69,1.41,1.18,2.85,1.52,1.68,2.34,1.25,1.41,1.88
b_0,0.96,0.96,1.14,0.92,0.61,0.47,1.89,1.64,2.01,1.74,3.33,1.9,2.83,3.42,1.48,2.47
f_0,0.75,0.89,1.0,0.98,0.8,0.7,1.84,1.77,2.11,2.09,2.05,3.26,2.64,1.8,3.21,2.26
h_0,0.96,1.35,0.97,0.82,0.71,0.52,1.35,2.17,1.77,1.93,1.88,1.66,2.1,2.06,1.6,2.68
a_0,0.97,1.03,1.02,0.92,0.68,0.54,1.93,1.86,2.33,2.12,1.92,1.92,2.52,3.38,1.78,2.59
e_0,0.62,1.19,1.04,1.03,0.86,0.75,2.02,1.69,1.82,1.86,1.85,1.47,2.53,1.29,3.45,2.14
g_0,0.74,0.86,1.51,0.9,0.74,0.73,1.59,1.52,2.04,1.6,2.12,2.62,2.33,1.83,1.68,1.85
