,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.44,1.6,1.51,1.71,1.5,1.52,0.33,0.33,0.47,0.34,0.72,0.35,0.19,0.4,0.28,0.35
e_1,0.92,0.44,2.16,1.7,1.89,1.9,0.54,0.39,0.54,0.32,0.43,0.34,0.29,0.59,0.48,0.26
c_1,2.05,1.42,0.41,2.31,1.91,1.37,0.45,0.22,0.56,0.63,0.34,0.33,0.26,0.33,0.31,0.25
d_1,1.88,2.19,1.78,0.4,1.92,1.59,0.57,0.89,0.31,0.34,0.33,0.43,0.28,0.36,0.33,0.16
b_1,2.25,2.24,1.0,2.13,0.38,2.14,0.62,0.45,0.67,0.51,0.4,0.83,0.3,0.38,0.46,0.26
a_1,2.7,2.25,2.38,2.53,1.1,0.33,0.77,0.54,0.71,0.63,0.46,0.54,0.32,0.46,0.98,0.35
h_1,2.94,2.87,3.17,2.81,2.87,2.69,0.32,0.53,0.8,0.54,0.56,0.62,0.52,0.47,0.59,0.37
d_0,3.26,1.72,3.84,5.84,2.91,2.56,1.0,0.38,1.14,0.71,0.71,0.8,0.49,0.58,0.66,0.74
g_1,3.65,3.23,3.51,2.68,3.2,3.83,0.62,0.74,0.29,0.52,0.66,0.57,0.35,0.59,0.66,0.63
c_0,3.67,3.24,7.74,1.62,3.94,3.41,0.97,0.82,0.97,0.35,0.62,0.76,0.56,0.61,0.79,0.49
f_0,6.88,3.13,3.65,2.63,3.66,3.02,1.13,0.66,0.6,0.64,0.35,0.7,0.55,0.65,0.74,0.3
b_0,3.79,3.24,5.19,2.63,7.56,4.01,0.92,0.74,0.91,0.35,0.66,0.32,0.43,0.57,0.64,0.47
h_0,4.13,3.46,3.95,3.73,3.5,3.29,1.88,0.86,1.24,0.78,0.71,0.76,0.78,0.63,0.72,0.54
e_0,6.19,5.5,5.14,3.67,4.28,3.93,1.46,0.99,1.06,0.67,0.4,0.73,0.63,0.31,0.8,0.5
a_0,5.39,4.33,4.7,4.05,4.45,5.41,1.41,0.93,1.07,0.7,0.93,0.45,0.61,0.69,0.3,0.69
g_0,5.17,4.98,4.12,4.4,3.98,4.1,0.89,0.87,2.0,0.93,0.77,0.82,0.5,0.67,0.8,0.84
