,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.05,1.21,1.9,1.46,1.7,1.48,0.65,0.57,0.43,0.43,0.56,0.57,0.39,0.41,0.59,0.45
f_1,1.79,1.05,1.62,1.52,1.48,1.16,0.45,0.57,0.44,0.41,0.53,0.47,0.29,0.42,0.37,0.37
c_1,1.48,1.9,1.05,2.34,1.93,1.41,0.66,0.35,0.62,0.47,0.58,0.47,0.4,0.42,0.48,0.35
d_1,2.37,1.98,1.69,1.05,1.72,1.66,0.69,0.78,0.61,0.58,0.47,0.5,0.4,0.48,0.42,0.28
b_1,2.05,2.25,1.37,2.21,1.06,2.4,0.84,0.67,0.71,0.92,0.73,0.67,0.51,0.6,0.52,0.42
a_1,2.85,3.59,2.79,2.65,1.48,1.06,1.12,0.92,0.96,1.11,0.93,0.76,0.71,1.07,0.79,0.67
h_1,4.84,5.97,4.78,4.62,4.47,3.57,1.3,1.48,1.41,1.36,1.63,1.36,1.18,1.18,1.19,1.1
d_0,3.91,5.42,6.68,6.74,5.05,4.54,2.43,1.39,1.54,1.56,2.24,1.5,1.35,1.32,1.6,1.41
c_0,7.16,6.97,8.41,3.82,5.89,4.22,2.28,2.45,1.42,1.85,2.06,1.75,1.43,1.59,1.45,1.2
b_0,6.94,7.68,10.08,5.58,7.64,4.82,2.54,2.23,1.39,1.41,2.27,1.74,1.55,2.1,1.7,1.62
g_1,7.34,7.92,7.6,6.8,7.08,5.47,2.19,2.13,1.81,1.85,1.32,1.82,1.14,1.6,1.48,1.62
f_0,6.75,10.65,8.56,6.86,7.08,5.84,2.69,2.41,2.03,2.09,1.89,1.41,1.66,1.8,2.19,1.04
h_0,8.48,9.86,8.2,7.69,7.52,5.45,3.89,2.56,2.26,2.43,3.0,2.15,2.09,2.33,1.83,1.8
a_0,8.5,8.72,10.21,7.66,8.97,7.32,3.59,3.13,2.23,1.37,2.72,2.46,1.9,1.5,2.07,1.91
e_0,9.89,10.66,8.59,8.59,7.8,7.11,3.27,2.76,2.84,2.64,3.05,1.39,2.2,2.43,1.52,1.82
g_0,9.63,10.34,10.17,10.08,10.05,7.28,3.16,2.76,2.74,2.38,3.42,2.87,1.74,2.42,2.23,2.23
