,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,1.53,1.33,0.88,0.92,0.76,0.59,0.93,1.02,0.96,0.96,0.74,0.95,0.8,1.05,0.68,1.04
e_1,0.86,1.52,0.74,1.15,0.87,0.7,1.08,1.72,0.97,0.99,1.07,1.0,0.96,1.14,0.79,1.01
d_1,1.03,1.04,1.56,0.71,0.73,0.78,1.12,0.88,0.81,1.67,1.07,1.14,0.9,1.1,0.95,0.96
c_1,0.89,0.75,0.97,1.57,1.38,0.77,0.98,0.94,0.96,0.71,1.02,0.79,0.89,1.03,0.94,1.04
b_1,1.0,0.88,0.97,0.75,1.61,1.32,1.03,1.01,0.91,0.98,1.1,0.74,0.82,1.16,0.94,1.11
a_1,1.18,1.08,0.99,0.95,0.74,1.77,1.28,1.27,1.1,1.18,1.14,1.36,0.99,1.24,0.93,1.04
h_1,1.41,1.1,1.17,1.13,1.0,0.76,1.81,1.16,1.45,1.25,1.24,1.16,1.09,1.25,1.04,1.6
d_0,1.25,0.91,0.99,1.85,1.23,0.78,1.44,1.7,1.19,1.05,1.13,1.35,1.14,1.49,1.23,1.46
g_1,1.07,1.08,1.71,1.13,0.98,0.85,1.23,1.28,1.91,1.3,1.58,1.34,1.26,1.28,1.27,1.22
c_0,1.45,1.2,1.11,1.01,0.97,0.82,1.55,1.36,1.41,1.76,1.37,2.11,1.57,1.56,1.31,1.45
f_0,1.04,1.08,1.3,1.3,1.18,0.94,1.52,1.45,1.31,1.37,1.8,1.55,1.46,1.5,2.31,1.22
b_0,1.35,1.22,1.3,1.29,1.04,0.7,1.47,1.3,1.25,1.24,1.26,1.84,2.27,1.53,1.23,1.32
a_0,1.43,1.26,1.39,1.21,1.24,0.67,1.66,1.47,1.3,1.49,1.41,1.24,1.84,1.62,1.35,1.58
h_0,1.64,1.17,1.37,1.34,1.08,0.95,1.15,1.33,1.58,1.31,1.27,1.35,1.16,1.27,1.22,1.72
e_0,1.34,0.96,1.32,1.4,1.37,1.03,1.49,1.28,1.45,1.42,1.21,1.43,1.43,1.74,1.86,1.43
g_0,1.17,1.15,1.73,1.28,1.04,0.99,1.46,1.33,1.09,1.45,2.23,1.46,1.23,1.44,1.62,1.31
