,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.43,0.96,0.93,0.89,0.89,0.89,0.22,0.18,0.16,0.23,0.17,0.16,0.17,0.11,0.16,0.08
f_1,0.86,0.42,0.85,0.93,0.91,0.85,0.2,0.29,0.2,0.19,0.19,0.25,0.17,0.1,0.2,0.14
e_1,0.94,0.62,0.41,1.17,0.96,0.95,0.3,0.29,0.2,0.2,0.22,0.26,0.21,0.14,0.26,0.16
c_1,1.25,1.1,0.78,0.4,0.89,0.83,0.29,0.31,0.28,0.11,0.18,0.2,0.18,0.13,0.18,0.14
b_1,1.24,1.19,1.04,0.64,0.37,0.9,0.38,0.34,0.29,0.21,0.29,0.23,0.22,0.18,0.19,0.18
a_1,1.34,1.57,1.33,1.02,0.65,0.32,0.43,0.43,0.33,0.24,0.33,0.27,0.32,0.2,0.29,0.22
h_1,1.65,1.75,1.75,1.74,1.84,1.34,0.28,0.45,0.36,0.37,0.36,0.34,0.34,0.32,0.32,0.24
g_1,2.07,2.0,2.03,1.95,1.78,1.64,0.44,0.26,0.39,0.43,0.39,0.34,0.34,0.21,0.31,0.3
c_0,1.29,2.04,1.95,3.46,2.07,2.02,0.55,0.56,0.28,0.66,0.41,0.37,0.41,0.3,0.39,0.25
d_0,2.55,1.94,1.29,2.26,2.02,1.88,0.61,0.67,0.45,0.31,0.46,0.51,0.5,0.32,0.46,0.3
b_0,1.58,2.25,1.87,2.95,3.04,2.1,0.53,0.51,0.26,0.52,0.28,0.42,0.38,0.31,0.4,0.28
f_0,2.01,2.94,2.39,2.34,2.33,1.73,0.57,0.38,0.43,0.5,0.42,0.27,0.42,0.3,0.41,0.23
a_0,2.1,2.39,2.37,2.75,2.69,2.77,0.75,0.53,0.44,0.53,0.3,0.5,0.29,0.32,0.49,0.4
h_0,2.27,2.69,2.38,2.45,2.21,2.24,0.88,0.62,0.6,0.51,0.48,0.49,0.42,0.47,0.41,0.36
e_0,2.49,3.52,2.9,2.75,2.7,1.95,0.66,0.53,0.5,0.61,0.54,0.28,0.5,0.43,0.25,0.31
g_0,2.69,3.06,2.77,2.46,2.7,2.34,0.58,0.8,0.61,0.56,0.58,0.49,0.52,0.35,0.47,0.44
