,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,11.62,0.65,0.54,0.94,0.63,0.6,0.9,0.98,0.78,2.31,1.06,1.07,1.04,0.96,0.74,0.81
f_1,1.43,12.26,0.61,0.64,0.6,0.6,0.78,0.81,0.75,0.88,0.98,0.52,0.88,0.84,0.53,0.82
d_1,0.59,0.69,14.43,0.45,0.72,0.61,0.98,0.98,2.54,0.52,1.11,1.03,0.99,1.0,1.1,1.15
c_1,0.6,0.59,0.71,15.15,1.46,0.69,0.78,0.73,0.35,0.86,0.76,0.86,0.88,0.77,0.9,0.98
b_1,0.56,0.61,0.63,0.61,15.97,1.81,0.96,0.85,0.83,0.82,0.41,0.98,0.56,1.05,0.95,0.86
a_1,0.64,0.67,0.65,0.75,0.59,22.4,1.08,1.05,1.01,0.89,0.88,0.96,0.67,1.16,0.98,1.0
h_1,0.62,1.44,0.94,0.72,0.48,0.66,3.47,1.56,1.12,0.78,1.07,1.13,1.15,0.76,1.14,1.58
g_1,0.64,0.67,1.45,0.83,0.59,0.61,1.0,3.9,1.17,1.03,1.1,1.85,1.01,1.28,1.36,0.82
c_0,0.75,0.88,0.96,0.55,0.63,0.56,1.25,1.2,2.59,0.91,3.13,1.4,1.45,1.32,1.42,1.29
d_0,0.69,0.75,0.42,2.85,0.74,0.54,0.95,1.04,0.58,2.33,1.02,1.13,1.06,1.26,1.15,1.12
b_0,0.67,0.91,1.03,0.78,0.42,0.47,1.49,1.21,0.98,0.9,2.71,1.25,3.79,1.43,1.34,1.36
f_0,0.54,0.8,0.83,0.82,0.68,0.68,1.29,1.02,1.21,1.12,1.62,2.77,1.52,1.39,3.96,1.6
a_0,0.68,0.78,0.9,0.83,0.7,0.52,1.5,1.03,1.35,0.86,1.34,1.48,2.98,1.67,1.38,1.03
h_0,0.56,1.27,0.96,0.82,0.81,0.62,0.77,1.54,1.07,0.99,0.98,0.91,1.26,0.68,1.22,1.44
e_0,0.43,1.22,0.76,0.67,0.83,0.94,1.44,0.96,1.07,0.85,1.32,0.95,1.3,1.67,4.16,1.4
g_0,0.45,0.72,1.51,0.69,0.77,0.64,1.11,0.75,1.13,0.67,1.37,2.27,1.51,1.2,1.36,0.92
