,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,0.95,0.83,0.91,0.74,0.44,0.37,0.62,0.46,0.44,0.4,0.33,0.32,0.34,0.28
f_1,0.89,1.0,1.29,0.98,0.79,0.82,0.43,0.47,0.39,0.4,0.43,0.26,0.31,0.33,0.3,0.32
e_1,1.05,0.77,1.0,1.12,0.95,0.69,0.57,0.49,0.45,0.42,0.59,0.45,0.39,0.38,0.39,0.33
c_1,1.21,1.03,0.88,1.0,1.4,0.71,0.5,0.52,0.39,0.37,0.31,0.42,0.37,0.37,0.31,0.34
b_1,1.1,1.26,1.05,0.71,1.0,1.56,0.57,0.5,0.53,0.44,0.43,0.39,0.41,0.4,0.37,0.35
a_1,1.35,1.24,1.45,1.41,0.65,1.0,0.79,0.64,0.57,0.73,0.67,0.49,0.62,0.6,0.54,0.43
h_1,2.27,2.32,1.81,2.02,1.68,1.32,1.0,1.09,0.84,0.81,0.69,0.76,0.6,0.67,0.69,0.7
g_1,2.65,2.2,2.1,1.91,1.97,1.59,0.89,1.0,0.94,0.8,0.79,1.07,0.72,0.73,0.66,0.58
c_0,1.63,2.59,2.27,2.46,1.74,1.78,1.2,1.0,1.0,1.39,1.06,1.03,0.89,0.96,0.81,0.72
b_0,2.2,2.54,2.36,2.79,2.12,1.36,1.21,1.22,0.73,1.0,1.04,0.93,0.89,0.99,0.78,0.71
d_0,2.33,2.23,1.72,3.27,2.37,1.55,1.42,1.26,0.91,0.96,1.0,1.0,0.89,0.84,0.93,0.81
f_0,2.43,3.58,2.25,2.48,2.42,2.09,1.31,0.96,1.01,1.08,1.01,1.0,0.97,0.78,1.3,0.66
h_0,2.91,3.3,2.58,2.77,2.45,1.61,1.58,1.41,1.09,1.15,1.1,1.05,1.0,0.87,0.98,1.04
a_0,3.01,2.92,2.54,2.8,2.69,1.8,1.54,1.45,1.08,0.98,1.16,1.33,1.17,1.0,0.89,1.14
e_0,2.69,3.5,2.69,3.36,2.68,1.96,1.37,1.41,1.27,1.29,1.05,0.78,1.08,1.2,1.0,0.94
g_0,3.54,3.2,3.01,3.27,2.85,2.34,1.37,1.69,1.43,1.46,1.19,1.49,0.99,0.84,1.1,1.0
