,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.96,0.55,0.9,0.62,0.53,0.35,0.4,0.35,0.39,0.34,0.3,0.3,0.32,0.33,0.27,0.18
d_1,0.71,0.96,0.66,0.53,0.56,0.36,0.41,0.36,0.34,0.53,0.35,0.4,0.38,0.3,0.27,0.25
e_1,0.6,0.56,0.96,0.7,0.55,0.44,0.44,0.38,0.61,0.37,0.38,0.37,0.37,0.33,0.29,0.27
c_1,0.63,0.67,0.56,0.96,0.88,0.4,0.43,0.35,0.32,0.29,0.35,0.28,0.37,0.33,0.23,0.26
b_1,0.7,0.65,0.64,0.58,0.95,0.71,0.48,0.38,0.38,0.38,0.38,0.32,0.35,0.36,0.22,0.29
a_1,0.82,0.82,0.68,0.81,0.53,0.94,0.52,0.46,0.49,0.41,0.47,0.46,0.45,0.39,0.26,0.34
h_1,1.12,0.97,0.87,0.91,0.78,0.57,0.81,0.62,0.57,0.49,0.49,0.52,0.44,0.55,0.35,0.38
g_1,0.92,1.27,0.87,0.95,0.91,0.64,0.58,0.79,0.51,0.61,0.67,0.59,0.51,0.41,0.36,0.45
d_0,0.98,0.96,0.83,1.41,1.0,0.59,0.68,0.59,0.74,0.44,0.51,0.49,0.5,0.52,0.44,0.37
c_0,1.11,0.97,0.97,0.99,0.82,0.74,0.76,0.62,0.74,0.74,0.64,0.85,0.61,0.52,0.53,0.48
f_0,0.98,1.21,0.9,1.0,0.92,0.7,0.73,0.66,0.64,0.65,0.75,0.6,0.63,0.47,0.44,0.71
b_0,1.25,1.15,0.95,1.11,0.85,0.59,0.73,0.59,0.66,0.52,0.63,0.72,0.67,0.55,0.72,0.43
h_0,1.38,1.15,1.1,1.01,0.99,0.7,0.67,0.71,0.66,0.6,0.63,0.6,0.55,0.67,0.44,0.42
g_0,1.01,1.49,1.1,1.08,0.95,0.76,0.76,0.66,0.67,0.68,0.82,0.66,0.56,0.52,0.51,0.48
a_0,1.2,1.29,1.11,1.16,1.0,0.68,0.92,0.72,0.73,0.61,0.74,0.58,0.73,0.63,0.68,0.49
e_0,1.37,1.32,0.77,1.18,1.05,0.77,0.88,0.7,0.69,0.67,0.61,0.71,0.74,0.67,0.53,0.68
