,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,15.84,1.19,0.53,0.56,0.43,0.61,0.78,0.83,0.77,0.82,0.91,0.4,0.85,0.83,0.59,0.82
e_1,0.56,16.81,0.39,0.69,0.6,0.53,0.97,0.75,0.87,2.22,1.07,0.91,1.01,0.92,0.5,0.91
d_1,0.66,0.51,16.95,0.45,0.51,0.64,1.02,0.96,2.07,0.33,1.24,1.31,1.07,1.03,1.01,1.0
c_1,0.43,0.58,0.53,18.27,1.44,0.49,0.68,0.62,0.26,0.78,0.55,0.78,0.86,0.89,0.79,0.87
b_1,0.57,0.42,0.68,0.6,18.77,1.03,0.73,0.76,0.84,0.86,0.4,0.92,0.73,1.09,1.16,0.98
a_1,0.65,0.5,0.61,0.6,0.46,27.57,0.96,0.96,1.09,0.97,0.9,0.95,0.39,1.05,1.06,1.14
h_1,1.14,0.64,1.03,0.63,0.64,0.56,5.29,1.69,1.34,1.07,1.25,1.02,0.97,0.7,1.18,1.83
g_1,0.75,0.53,1.49,0.74,0.53,0.65,0.94,6.91,0.83,0.87,1.17,2.44,1.05,1.15,1.75,0.72
c_0,0.89,0.64,0.95,0.43,0.44,0.77,1.57,1.48,3.56,1.09,3.52,1.39,1.74,1.39,1.46,1.23
d_0,0.69,0.74,0.31,1.93,0.76,0.69,1.52,1.13,0.7,3.1,1.16,1.1,1.09,1.15,1.1,1.21
b_0,0.99,0.78,0.99,0.77,0.3,0.51,1.14,1.31,1.23,1.16,3.8,1.41,3.7,1.55,1.21,1.19
f_0,0.48,0.67,0.89,0.85,0.73,0.78,1.2,1.58,1.43,1.09,1.35,3.77,1.39,1.46,3.24,1.15
a_0,0.81,0.55,1.02,0.75,0.79,0.34,1.57,1.34,1.2,1.09,1.29,1.21,4.17,1.58,1.55,1.2
h_0,1.33,0.66,0.99,0.63,0.5,0.82,0.71,2.04,1.09,1.04,1.4,1.1,1.07,0.66,1.31,1.48
e_0,0.88,0.26,1.03,0.95,0.54,0.8,1.7,1.49,1.1,1.19,1.26,1.4,1.31,1.31,5.74,1.53
g_0,0.54,0.52,1.97,0.67,0.64,0.76,1.25,0.83,1.22,0.79,1.34,2.15,1.29,0.99,1.42,0.76
