,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.45,2.37,5.09,5.16,4.53,4.26,1.32,1.38,1.02,0.82,0.82,1.13,0.91,0.62,2.41,0.59
f_1,3.71,0.43,4.69,4.96,4.12,4.0,0.93,1.37,0.89,1.02,0.88,3.93,0.93,0.41,0.76,0.82
c_1,4.36,3.88,0.42,5.61,4.37,4.61,1.77,1.28,0.51,0.95,3.98,0.91,0.81,0.6,0.95,0.74
d_1,4.73,5.46,4.75,0.41,5.19,4.62,1.06,0.76,5.21,0.83,0.94,0.88,0.83,0.61,0.9,0.37
b_1,5.61,5.12,2.77,4.57,0.4,5.42,1.29,1.6,0.94,4.66,1.23,0.77,0.98,0.7,1.16,1.11
a_1,4.55,7.07,6.11,5.64,2.87,0.35,2.0,1.81,1.29,1.78,1.2,1.59,4.85,0.95,1.24,0.81
h_1,5.9,7.07,5.02,3.99,4.64,3.6,0.35,1.54,1.37,0.92,0.89,1.01,1.16,2.12,0.96,0.9
g_1,6.47,6.07,5.52,4.5,7.56,5.31,1.16,0.32,1.34,1.26,1.15,1.12,1.47,0.67,1.2,2.11
d_0,3.19,5.22,5.76,10.94,7.19,5.7,1.87,2.19,0.44,1.47,1.04,1.19,1.1,0.99,1.2,1.11
b_0,5.69,5.38,6.98,3.94,21.36,6.23,1.47,1.63,1.08,0.42,0.56,1.15,1.16,0.85,0.9,0.7
c_0,6.2,5.47,25.92,2.84,5.88,7.84,1.97,1.83,1.6,1.02,0.44,1.31,1.12,1.17,1.23,0.85
f_0,7.23,31.22,4.47,5.32,6.9,7.31,1.95,1.09,1.3,0.97,1.13,0.37,1.2,1.08,0.92,0.52
a_0,6.37,8.98,6.08,8.03,8.02,11.59,1.86,3.62,1.58,0.6,0.99,1.26,0.37,0.93,0.92,0.87
h_0,7.62,6.42,6.7,8.11,5.84,6.25,5.19,2.19,1.31,1.32,1.26,1.46,1.16,4.12,0.98,1.01
e_0,19.98,8.89,7.09,5.5,8.33,6.88,1.36,2.04,1.4,1.37,1.27,0.71,1.63,1.25,0.35,0.97
g_0,6.71,10.07,6.96,9.31,6.39,8.04,1.73,5.17,1.85,1.3,1.55,1.44,1.26,1.03,1.37,2.1
