,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.84,0.88,0.7,0.99,0.76,0.67,1.03,0.97,0.9,1.62,0.94,0.88,1.11,0.99,0.8,0.88
f_1,1.28,1.82,0.72,0.84,0.65,0.75,0.89,0.96,0.86,1.03,0.96,0.67,1.05,0.96,0.76,0.81
d_1,0.76,0.88,1.97,0.63,0.8,0.77,1.0,1.0,1.65,0.69,1.18,1.05,1.06,0.97,0.99,1.14
c_1,0.71,0.68,0.83,1.9,1.42,0.82,0.98,0.86,0.61,0.84,0.63,1.03,0.68,1.01,1.04,1.0
b_1,0.79,0.92,0.77,0.76,1.95,1.4,0.93,0.91,0.92,0.85,0.9,0.98,0.82,0.94,1.02,0.92
a_1,0.8,0.85,0.97,0.92,0.7,2.81,0.94,0.93,0.82,0.9,0.99,0.95,0.7,1.07,0.9,1.07
h_1,0.79,1.08,0.96,0.91,0.77,0.75,1.67,1.18,0.98,0.89,1.06,1.01,1.02,0.82,0.89,1.33
g_1,0.7,0.79,1.28,0.9,0.84,0.74,1.09,2.08,1.07,0.84,1.08,1.57,1.02,1.0,1.27,0.97
c_0,0.91,0.96,1.02,0.74,0.72,0.68,1.04,1.14,1.6,0.91,1.92,1.25,1.54,1.18,1.17,1.18
d_0,0.83,0.84,0.58,1.49,1.0,0.79,0.95,0.97,0.65,1.46,0.89,1.12,0.91,0.93,0.98,1.02
b_0,0.88,0.93,1.0,0.95,0.64,0.66,0.98,0.99,1.26,1.0,1.81,1.17,2.21,1.29,1.25,1.08
f_0,0.75,0.83,1.11,0.85,0.89,0.86,1.06,1.1,1.14,1.0,1.07,1.74,0.93,1.16,2.22,1.12
a_0,0.81,0.88,0.92,1.1,0.83,0.52,0.99,1.08,1.01,1.16,1.12,1.15,2.02,1.19,1.09,1.17
h_0,0.86,1.08,0.99,0.86,0.85,0.66,0.8,1.25,0.99,1.0,1.0,0.92,0.99,0.83,1.06,1.31
e_0,0.68,0.94,1.08,0.88,0.9,0.91,1.12,1.05,1.14,0.95,1.2,1.2,1.1,1.23,2.09,1.11
g_0,0.72,0.79,1.34,0.81,0.88,0.73,0.94,0.82,1.12,0.82,1.01,1.59,0.88,1.1,1.37,0.93
