,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,1.03,0.9,1.09,0.9,0.67,0.82,0.61,0.58,0.64,0.68,0.64,0.63,0.56,0.63
f_1,1.32,1.0,1.03,0.88,0.85,0.75,0.53,0.63,0.52,0.53,0.57,0.44,0.49,0.65,0.46,0.57
c_1,0.97,0.97,1.0,1.39,1.26,0.84,0.71,0.44,0.5,0.48,0.59,0.56,0.51,0.5,0.69,0.55
d_1,1.11,1.13,0.72,1.0,0.93,0.93,0.72,0.81,0.81,0.8,0.58,0.65,0.6,0.58,0.58,0.49
b_1,0.92,1.18,0.79,1.08,1.0,1.36,0.84,0.89,0.66,0.75,0.6,0.76,0.74,0.6,0.55,0.52
a_1,1.11,1.33,1.19,1.07,0.73,1.0,0.86,1.03,1.04,0.9,0.75,0.66,0.77,0.68,0.72,0.63
h_1,1.44,1.87,1.44,1.41,1.2,1.14,1.0,0.79,0.81,0.78,0.94,0.85,0.58,0.65,0.83,0.86
d_0,1.2,1.66,2.29,1.25,1.17,0.99,1.19,1.0,0.9,0.93,1.05,0.74,0.95,0.78,1.07,0.95
c_0,1.65,1.95,2.09,1.2,1.46,1.04,1.24,1.04,1.0,1.14,0.88,0.97,0.89,0.84,0.8,0.71
b_0,1.67,1.98,2.04,1.15,1.39,1.1,1.24,1.04,0.93,1.0,0.96,0.84,0.93,1.2,0.8,1.04
g_1,1.56,1.78,1.81,1.66,1.6,1.28,1.06,0.96,1.09,1.03,1.0,1.02,0.8,0.83,0.78,1.09
f_0,1.44,2.36,1.86,1.57,1.36,1.41,1.18,1.36,1.05,1.15,1.03,1.0,1.05,0.87,1.23,0.77
h_0,1.52,2.14,2.0,1.63,1.34,1.28,1.65,1.04,1.14,1.08,1.29,0.9,1.0,1.01,0.85,1.05
a_0,1.57,1.56,2.11,1.73,1.58,1.32,1.66,1.32,1.04,0.83,1.21,1.23,0.96,1.0,1.01,1.03
e_0,1.77,2.26,1.51,1.87,1.66,1.29,1.21,1.03,1.21,1.37,1.4,0.81,1.25,1.01,1.0,1.09
g_0,1.46,1.8,1.81,2.07,1.87,1.46,1.14,1.11,1.32,0.97,,1.28,0.94,0.94,1.01,1.0
