,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.06,2.26,1.83,1.63,1.87,1.65,0.59,0.65,0.6,0.75,0.51,0.69,0.34,0.44,0.44,0.49
e_1,1.37,1.06,2.58,1.91,1.93,2.02,0.8,0.75,0.58,0.78,0.62,0.69,0.53,0.78,0.55,0.48
c_1,2.47,1.73,1.06,2.6,2.6,2.04,0.96,0.43,0.84,0.66,0.53,0.57,0.51,0.57,0.5,0.45
d_1,2.54,2.5,2.37,1.06,2.18,1.73,0.74,1.09,0.72,0.58,0.71,0.58,0.56,0.45,0.54,0.32
b_1,2.83,3.12,1.44,2.57,1.06,2.54,0.94,0.76,0.83,0.92,1.2,0.73,0.66,0.57,0.61,0.56
a_1,3.7,3.26,3.16,4.03,1.71,1.07,1.41,1.19,1.06,1.22,1.52,0.93,0.71,0.94,2.49,0.74
h_1,6.0,6.24,5.71,5.75,5.25,3.83,1.32,1.8,1.51,2.3,1.48,1.62,1.6,1.41,1.72,1.37
d_0,6.24,4.07,7.35,7.26,6.86,4.69,2.45,1.48,1.77,2.45,1.86,1.79,1.39,1.62,1.3,1.65
c_0,7.62,6.93,11.22,4.19,6.63,5.38,2.66,2.51,1.47,2.72,2.35,2.09,1.45,1.71,1.74,1.41
g_1,7.34,6.75,7.68,7.35,6.92,4.99,2.04,2.11,1.96,1.34,1.9,1.95,1.25,1.89,1.93,1.35
b_0,8.32,6.57,11.21,6.13,12.56,5.25,2.8,2.42,1.31,2.68,1.46,1.9,1.64,2.01,2.17,1.51
f_0,11.7,8.08,7.98,7.92,7.46,5.78,2.79,2.47,2.21,1.99,2.37,1.47,1.88,2.18,2.1,1.11
h_0,10.72,8.24,9.32,7.81,8.5,7.72,4.47,2.89,2.58,3.44,2.47,2.57,2.45,2.27,1.95,2.21
e_0,16.68,11.73,9.22,11.56,9.63,8.15,3.88,2.8,3.2,3.2,2.83,1.81,2.64,1.63,2.56,2.17
a_0,11.6,10.01,13.63,10.65,13.93,9.51,3.9,3.65,2.62,3.77,1.63,2.72,2.6,2.8,1.6,1.96
g_0,11.12,12.13,12.7,12.31,9.99,9.94,3.24,3.31,3.12,6.29,3.27,3.4,2.0,2.45,2.87,2.79
