,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.42,1.13,0.57,0.99,0.89,0.8,0.29,0.22,0.21,0.34,0.23,0.25,0.13,0.15,0.36,0.21
d_1,1.09,0.41,1.09,1.02,0.88,0.82,0.24,0.33,0.18,0.17,0.19,0.15,0.13,0.08,0.16,0.15
f_1,0.89,0.95,0.41,0.93,0.88,0.83,0.21,0.19,0.2,0.3,0.19,0.26,0.11,0.15,0.18,0.19
c_1,0.77,1.24,0.86,0.41,0.9,0.9,0.27,0.12,0.26,0.26,0.19,0.2,0.14,0.13,0.19,0.15
b_1,0.99,1.21,1.15,0.58,0.38,1.16,0.32,0.21,0.29,0.28,0.28,0.21,0.17,0.16,0.2,0.21
a_1,1.41,1.37,1.34,1.28,0.7,0.32,0.36,0.29,0.25,0.36,0.35,0.25,0.2,0.19,0.24,0.28
h_1,1.68,1.86,1.97,1.68,1.58,1.34,0.28,0.37,0.36,0.49,0.36,0.32,0.29,0.23,0.32,0.32
d_0,1.2,2.59,1.77,2.37,1.91,1.63,0.62,0.3,0.44,0.64,0.43,0.4,0.28,0.29,0.45,0.36
c_0,2.16,1.23,2.29,2.7,2.24,1.74,0.59,0.66,0.29,0.49,0.39,0.39,0.3,0.24,0.37,0.35
g_1,1.81,2.05,2.25,1.96,1.91,1.67,0.44,0.46,0.42,0.26,0.48,0.37,0.23,0.29,0.37,0.34
b_0,2.03,1.69,2.48,2.67,2.6,1.69,0.58,0.44,0.26,0.51,0.28,0.35,0.28,0.29,0.35,0.32
f_0,2.03,2.01,3.13,2.4,2.12,1.6,0.64,0.5,0.44,0.41,0.48,0.28,0.3,0.21,0.36,0.35
h_0,2.5,2.26,2.38,2.6,2.29,2.12,0.87,0.57,0.48,0.7,0.49,0.47,0.44,0.34,0.4,0.4
g_0,2.48,2.67,2.87,2.85,2.5,2.26,0.61,0.68,0.52,0.75,0.51,0.49,0.3,0.51,0.5,0.44
e_0,3.86,2.08,3.35,2.79,2.47,2.04,0.77,0.71,0.52,0.58,0.61,0.31,0.38,0.34,0.24,0.42
a_0,2.76,2.22,3.11,3.12,2.99,3.42,0.87,0.59,0.46,0.77,0.34,0.51,0.41,0.42,0.47,0.27
