,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.96,0.89,0.64,0.51,0.49,0.37,0.38,0.42,0.32,0.33,0.31,0.25,0.3,0.21,0.26,0.25
e_1,0.67,0.96,0.71,0.47,0.52,0.4,0.43,0.61,0.39,0.36,0.35,0.37,0.35,0.24,0.27,0.29
c_1,0.68,0.62,0.96,0.64,0.82,0.47,0.42,0.34,0.35,0.26,0.27,0.31,0.29,0.26,0.23,0.28
d_1,0.75,0.74,0.54,0.96,0.52,0.39,0.49,0.36,0.33,0.6,0.42,0.35,0.36,0.29,0.32,0.28
b_1,0.72,0.68,0.58,0.62,0.95,0.77,0.43,0.41,0.33,0.43,0.3,0.34,0.36,0.3,0.22,0.31
a_1,0.86,0.76,0.69,0.69,0.53,0.94,0.53,0.49,0.42,0.41,0.47,0.4,0.47,0.34,0.29,0.38
h_1,1.15,0.96,0.95,0.81,0.81,0.58,0.81,0.56,0.6,0.52,0.46,0.49,0.4,0.43,0.38,0.48
d_0,1.08,0.87,1.43,0.75,0.93,0.59,0.69,0.75,0.6,0.45,0.48,0.45,0.53,0.47,0.41,0.44
g_1,1.06,0.86,0.96,1.24,0.92,0.64,0.64,0.54,0.79,0.6,0.51,0.67,0.49,0.49,0.38,0.4
c_0,1.26,1.13,1.04,0.84,0.71,0.72,0.7,0.72,0.6,0.73,0.9,0.58,0.54,0.42,0.56,0.46
b_0,1.28,1.17,1.18,0.89,0.84,0.56,0.76,0.72,0.64,0.54,0.72,0.54,0.55,0.46,0.74,0.49
f_0,1.08,0.89,1.24,1.01,0.95,0.75,0.73,0.73,0.59,0.6,0.59,0.73,0.59,0.76,0.39,0.46
h_0,1.46,1.21,1.25,0.99,1.05,0.66,0.73,0.69,0.75,0.64,0.63,0.55,0.51,0.51,0.4,0.6
e_0,1.4,1.01,1.34,1.0,1.08,0.83,0.85,0.63,0.64,0.66,0.59,0.53,0.61,0.69,0.48,0.55
a_0,1.39,1.23,1.26,0.96,1.08,0.68,0.85,0.79,0.77,0.59,0.56,0.62,0.7,0.53,0.68,0.55
g_0,1.2,1.17,1.26,1.33,1.08,0.78,0.8,0.75,0.66,0.72,0.64,0.83,0.58,0.59,0.47,0.52
