,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.77,0.98,1.1,1.01,0.82,0.82,0.71,0.88,0.53,0.64,0.66,0.61,0.58,0.53,0.71
f_1,1.29,1.0,0.86,0.98,0.84,0.8,0.63,0.67,0.66,0.69,0.63,0.58,0.44,0.53,0.5,0.5
d_1,1.02,1.16,1.0,0.83,0.98,0.87,0.7,0.57,0.81,0.82,0.67,0.6,0.67,0.45,0.57,0.56
c_1,0.91,1.03,1.21,1.0,1.28,0.8,0.74,0.64,0.48,0.57,0.45,0.58,0.64,0.61,0.56,0.49
b_1,0.98,1.2,1.03,0.79,1.0,1.16,0.66,0.74,0.69,0.9,0.69,0.69,0.7,0.62,0.6,0.63
a_1,1.22,1.26,1.14,1.25,0.84,1.0,0.95,0.94,0.79,0.59,0.78,0.7,0.71,0.68,0.62,0.59
h_1,1.25,1.58,1.37,1.43,1.4,1.04,1.0,1.03,0.86,0.82,0.84,1.03,0.83,0.95,0.79,0.76
g_1,1.45,1.47,1.73,1.5,1.38,1.09,0.99,1.0,0.81,0.92,0.85,1.18,0.78,0.89,0.96,0.88
d_0,1.12,1.55,1.3,2.15,1.41,1.25,1.17,1.18,1.0,0.8,0.99,1.02,0.94,0.88,0.84,0.89
c_0,1.77,1.49,1.19,1.75,1.12,1.59,1.27,1.07,1.25,1.0,1.67,1.02,0.95,1.05,0.87,0.8
b_0,1.51,1.58,1.57,2.08,1.59,1.27,1.2,1.19,1.01,0.66,1.0,0.96,1.02,1.0,1.25,0.88
f_0,1.39,1.88,1.62,1.77,1.43,1.43,0.94,0.88,1.05,0.99,1.12,1.0,1.14,0.9,1.1,1.3
h_0,1.66,2.31,1.51,1.62,1.44,1.3,1.21,1.33,1.08,1.12,0.99,0.88,1.0,1.15,0.89,0.88
g_0,1.77,1.86,2.27,1.72,1.64,1.49,1.04,1.11,1.11,0.95,1.02,1.17,0.9,0.99,0.88,0.83
a_0,1.9,1.99,1.66,1.77,1.73,1.74,1.26,1.07,1.17,1.18,0.81,0.92,1.15,1.15,1.0,0.88
e_0,1.42,2.05,1.76,1.98,1.75,1.46,1.39,1.14,1.21,1.19,1.13,0.8,1.16,1.13,1.11,1.0
