,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,109.68,16.66,13.34,14.95,25.59,97.12,2305.19,4058.65,5390.26,4829.06,,8771.89,15572.92,17253.25,20782.41,30257.03
e_1,11.54,109.98,16.77,15.05,21.75,105.11,1908.53,2457.38,6027.27,5013.97,6424.98,8969.68,17237.37,,20243.09,36241.42
c_1,12.66,11.17,125.4,12.48,35.79,69.95,2008.22,4057.17,3247.86,,4965.33,5319.65,20725.46,24282.15,18282.15,45160.41
d_1,11.96,11.76,14.65,132.81,25.24,,1963.11,2855.36,,8833.25,4280.7,7855.63,18927.78,16635.93,16974.5,28337.72
b_1,10.19,10.79,11.53,11.04,188.24,126.19,1931.9,2666.17,3937.82,4542.2,4700.21,,12221.36,15668.08,17540.12,22425.38
a_1,6.92,6.38,8.44,,9.52,557.84,1080.52,1695.43,2256.96,,3566.75,4956.05,8206.32,,,
h_1,6.4,5.91,6.68,6.69,9.29,41.3,3257.12,2137.06,1834.64,2372.46,2970.74,3220.43,,10542.7,8604.2,19230.29
g_1,4.34,4.89,4.28,7.84,8.99,31.93,660.47,5310.63,1730.44,1628.21,3935.66,3837.96,3707.19,6965.31,6963.42,
d_0,5.22,4.64,9.68,,9.52,37.18,1023.14,1222.72,4346.01,2182.83,2262.18,3723.38,7699.28,6954.93,14192.94,15097.36
c_0,6.37,5.07,,4.99,6.51,,692.87,1507.42,1650.02,5360.91,2433.0,5977.56,7255.94,7785.92,7426.12,15871.69
f_0,,4.51,6.32,7.67,8.29,29.49,606.12,796.47,1837.87,2055.97,5914.95,2981.1,7604.29,15245.1,,13915.23
b_0,3.77,4.03,5.73,5.3,,26.36,680.11,1164.46,1409.43,1409.21,1774.25,8042.13,8457.16,,13522.56,10277.75
h_0,4.76,3.93,4.41,5.57,9.03,28.18,,2047.39,1399.0,1730.32,1789.11,2145.85,,9260.08,10138.99,16979.43
e_0,3.31,,2.97,3.78,6.8,,468.64,920.82,1268.7,1668.77,1055.43,,2532.67,17349.9,6978.31,10944.02
a_0,2.33,3.56,3.81,4.98,4.57,,472.17,813.1,837.25,1109.53,,1644.18,4421.34,5215.39,18325.91,12241.8
g_0,3.55,3.12,3.18,5.99,7.11,,482.94,,1055.8,1311.04,1937.78,2471.35,3956.27,6356.89,5175.98,
