,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,16.08,1.15,0.48,0.55,0.45,0.4,0.83,0.77,0.87,0.88,0.78,0.3,0.83,0.67,0.71,0.63
e_1,0.68,16.38,0.42,0.7,0.39,0.48,0.96,0.81,0.91,2.24,1.06,0.96,0.99,1.12,0.84,0.43
d_1,0.63,0.4,19.37,0.42,0.49,0.57,0.96,0.96,2.19,0.31,1.11,1.08,1.08,1.0,1.01,0.88
c_1,0.47,0.45,0.51,19.52,1.34,0.43,0.75,0.86,0.27,0.88,0.69,1.08,0.95,0.94,0.83,0.96
b_1,0.44,0.52,0.59,0.53,24.19,1.36,0.69,0.86,0.6,0.65,0.29,0.76,0.84,0.69,0.88,0.93
a_1,0.42,0.56,0.8,0.41,0.51,35.11,0.92,0.7,0.79,0.7,1.06,1.06,1.18,0.44,1.3,1.14
h_1,0.89,0.63,0.68,0.64,0.68,0.64,5.35,1.72,1.06,1.17,1.19,1.19,0.72,0.98,1.71,1.37
g_1,0.72,0.46,1.22,0.7,0.64,0.63,1.01,6.88,1.05,0.74,1.19,1.59,1.07,1.2,0.59,1.49
c_0,0.72,0.65,0.82,0.38,0.58,0.78,1.46,1.15,3.39,0.77,3.21,1.52,1.28,1.2,1.78,1.5
d_0,0.63,0.62,0.28,2.1,0.67,0.72,1.11,0.95,0.89,3.26,1.05,1.4,1.0,0.93,1.24,1.39
b_0,0.78,0.63,0.69,0.78,0.33,0.42,1.31,1.14,1.09,1.13,4.22,1.33,1.56,3.27,1.69,1.46
f_0,0.4,0.44,0.89,0.78,0.81,0.94,1.22,1.36,1.33,1.19,1.41,4.02,1.31,1.44,1.24,3.6
h_0,1.16,0.57,0.65,0.76,0.54,0.68,0.68,1.41,1.2,1.06,1.31,1.1,0.56,1.33,2.06,1.15
a_0,0.93,0.47,0.87,0.67,0.81,0.3,1.41,1.2,1.1,1.43,0.9,1.53,1.36,5.35,1.46,1.87
g_0,0.48,0.58,1.54,0.67,0.52,0.75,1.11,0.69,1.32,0.98,1.53,2.19,1.31,1.08,0.63,1.11
e_0,0.81,0.33,0.66,0.8,0.79,0.79,1.11,1.16,1.15,1.34,1.46,1.31,1.65,1.37,1.6,6.13
