,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.18,0.53,0.71,0.6,0.71,0.56,0.14,0.12,0.2,0.12,0.12,0.23,0.08,0.13,0.13,0.12
e_1,0.37,0.18,0.67,0.63,0.73,0.7,0.2,0.17,0.26,0.14,0.13,0.19,0.1,0.4,0.14,0.12
c_1,0.57,0.59,0.16,0.87,0.67,0.65,0.2,0.08,0.2,0.21,0.14,0.12,0.09,0.09,0.11,0.09
d_1,0.73,0.8,0.64,0.14,0.63,0.56,0.19,0.32,0.11,0.12,0.14,0.13,0.1,0.15,0.15,0.06
b_1,0.79,0.71,0.35,0.77,0.13,0.77,0.19,0.16,0.18,0.22,0.26,0.15,0.1,0.11,0.14,0.08
a_1,0.8,0.73,0.68,0.83,0.3,0.1,0.22,0.2,0.2,0.16,0.18,0.13,0.1,0.12,0.25,0.12
h_1,0.56,0.52,0.55,0.45,0.66,0.47,0.06,0.1,0.15,0.1,0.1,0.11,0.13,0.09,0.11,0.07
d_0,0.52,0.28,0.65,1.06,0.55,0.5,0.17,0.07,0.17,0.13,0.1,0.1,0.08,0.13,0.11,0.09
g_1,0.57,0.45,0.54,0.54,0.66,0.57,0.11,0.1,0.05,0.1,0.1,0.09,0.06,0.11,0.09,0.1
c_0,0.59,0.55,1.11,0.25,0.54,0.6,0.14,0.16,0.14,0.06,0.13,0.12,0.07,0.1,0.12,0.08
b_0,0.59,0.42,0.79,0.39,1.18,0.48,0.15,0.12,0.14,0.05,0.05,0.1,0.07,0.11,0.09,0.07
f_0,0.89,0.47,0.58,0.52,0.49,0.48,0.14,0.13,0.1,0.1,0.1,0.05,0.07,0.09,0.1,0.04
h_0,0.56,0.46,0.59,0.46,0.46,0.44,0.26,0.11,0.16,0.1,0.11,0.1,0.11,0.09,0.1,0.08
e_0,0.64,0.84,0.55,0.45,0.52,0.46,0.12,0.09,0.13,0.11,0.1,0.05,0.06,0.04,0.1,0.06
a_0,0.49,0.42,0.62,0.49,0.73,0.74,0.16,0.1,0.16,0.09,0.06,0.14,0.09,0.13,0.04,0.08
g_0,0.67,0.56,0.53,0.44,0.49,0.44,0.12,0.11,0.2,0.11,0.1,0.09,0.05,0.08,0.09,0.1
