,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.64,0.39,0.3,0.48,0.39,0.44,0.68,0.61,1.75,0.81,0.82,0.78,0.95,0.71,0.26,0.77
f_1,0.66,3.76,0.33,0.37,0.4,0.34,0.71,0.57,0.85,0.79,1.0,0.21,0.9,0.74,0.52,1.12
d_1,0.44,0.4,4.28,0.27,0.32,0.37,0.81,0.67,0.15,1.76,0.95,0.9,0.87,0.9,0.97,0.85
c_1,0.41,0.38,0.4,4.42,0.74,0.25,0.82,0.64,0.62,0.12,0.69,0.95,0.72,0.84,0.95,0.77
b_1,0.38,0.38,0.44,0.5,4.83,0.7,0.66,0.77,0.73,0.57,0.17,0.82,0.78,0.53,0.9,0.76
a_1,0.33,0.44,0.49,0.36,0.33,7.54,0.81,0.77,0.73,0.88,0.59,1.12,1.06,0.18,0.75,1.08
h_1,0.57,0.98,0.72,0.71,0.58,0.68,5.02,1.59,1.03,1.31,1.34,1.48,0.5,1.4,1.37,1.72
g_1,0.53,0.65,1.22,0.72,0.48,0.64,1.3,6.39,1.06,1.16,1.19,2.05,1.33,1.41,1.45,0.51
d_0,0.57,0.72,0.23,1.4,0.8,0.72,1.56,1.53,3.77,1.07,1.5,1.25,1.58,1.51,1.33,1.32
c_0,0.68,0.92,0.82,0.26,0.5,0.58,1.6,1.56,1.49,3.83,2.65,1.42,1.86,1.8,2.28,1.44
b_0,0.74,0.77,0.84,0.69,0.36,0.52,1.38,1.8,1.39,1.32,4.54,1.27,1.65,3.84,1.53,1.55
f_0,0.57,0.29,0.96,0.7,0.87,0.7,1.25,1.7,1.23,1.42,1.86,4.97,2.02,1.2,3.09,1.64
h_0,0.61,1.07,0.56,0.71,0.74,0.53,0.49,1.83,1.42,1.27,1.33,1.24,0.65,1.22,1.47,2.06
a_0,0.68,0.7,0.96,0.71,0.6,0.41,1.19,1.69,0.94,1.57,1.37,1.33,1.88,6.17,1.62,1.7
e_0,0.32,0.93,0.73,0.66,0.67,0.88,1.44,1.29,1.26,1.65,1.78,1.21,2.18,1.33,6.31,1.42
g_0,0.75,0.5,1.01,0.74,0.73,0.64,1.14,0.77,1.27,1.1,1.25,2.11,1.28,1.72,1.57,0.72
