,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.1,3.17,1.84,3.21,3.24,3.18,0.9,1.09,0.77,0.68,0.77,0.82,0.54,0.63,0.97,0.52
d_1,4.06,1.1,3.56,2.96,3.04,2.69,0.9,0.57,0.99,0.6,0.62,0.57,0.4,0.63,0.5,0.32
f_1,3.28,2.95,1.11,2.91,3.23,2.96,0.66,0.91,0.64,0.61,0.61,0.88,0.32,0.61,0.52,0.49
c_1,2.72,4.39,3.35,1.11,3.45,3.22,0.96,0.97,0.4,0.97,0.71,0.63,0.46,0.59,0.62,0.46
b_1,3.58,3.79,3.94,2.06,1.12,3.63,1.32,1.12,0.82,1.06,1.22,0.9,0.57,0.76,0.9,0.58
a_1,5.05,5.34,5.77,7.12,2.79,1.13,1.54,1.92,1.47,1.04,1.33,1.18,1.04,1.58,1.33,0.8
h_1,10.99,10.87,13.47,13.57,9.95,11.08,1.64,3.47,2.62,2.39,2.57,2.36,2.49,2.08,2.22,1.68
g_1,15.02,12.5,14.14,13.06,12.48,10.4,2.58,1.63,2.57,2.57,2.39,2.38,1.48,2.15,2.57,2.14
d_0,8.13,23.05,14.82,15.58,14.72,13.7,4.4,5.51,2.01,3.34,3.5,2.76,2.06,3.1,2.99,2.07
c_0,15.02,8.68,14.69,23.15,15.42,12.75,3.95,3.77,4.7,1.97,3.18,3.37,2.32,2.98,2.87,2.08
b_0,14.06,12.32,15.28,24.03,25.83,13.17,4.11,4.4,3.48,1.61,1.93,3.0,2.14,2.53,2.82,2.15
f_0,18.01,15.87,21.99,22.81,17.43,13.61,4.91,3.25,3.95,3.17,3.31,2.0,2.51,2.78,3.24,1.54
h_0,24.51,25.65,21.43,22.01,22.65,21.81,7.9,6.55,4.48,4.64,4.83,4.3,4.46,4.07,3.58,3.05
a_0,23.53,21.87,24.0,24.98,37.28,30.27,7.46,7.58,5.6,4.02,2.77,4.79,3.55,2.35,4.69,3.02
e_0,31.23,25.09,33.09,29.7,31.0,24.73,8.14,6.72,5.55,5.52,5.28,2.58,3.37,4.5,2.34,2.78
g_0,33.29,29.67,26.22,30.86,29.16,28.56,6.4,11.97,7.0,6.24,6.42,6.28,3.13,5.61,5.34,5.23
