,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.27,0.52,0.39,0.56,0.47,0.4,0.92,1.73,0.82,1.04,0.94,0.94,1.23,1.02,1.07,0.4
f_1,1.01,2.35,0.47,0.44,0.36,0.26,0.68,1.03,0.6,0.95,0.87,0.33,1.14,0.7,1.04,0.42
d_1,0.46,0.56,2.39,0.4,0.44,0.37,0.96,0.47,0.72,1.78,1.16,1.09,1.25,0.8,1.19,0.8
c_1,0.42,0.48,0.48,2.4,0.8,0.36,0.87,1.03,0.75,0.36,0.71,0.79,1.32,0.66,1.08,0.88
b_1,0.44,0.44,0.54,0.47,2.51,0.75,0.83,0.95,0.7,0.92,0.36,1.03,1.08,0.54,0.94,0.86
a_1,0.44,0.51,0.53,0.56,0.49,3.02,0.82,1.03,0.72,1.17,1.03,1.09,1.1,0.32,0.9,0.77
h_1,0.53,0.81,0.65,0.53,0.46,0.41,3.04,1.41,1.28,1.17,0.91,1.08,0.79,1.05,2.26,1.02
d_0,0.62,0.59,0.25,1.13,0.56,0.46,1.02,2.53,0.83,0.88,1.19,1.05,1.73,0.86,1.27,0.96
g_1,0.48,0.53,0.98,0.59,0.49,0.32,1.01,1.08,3.44,1.09,1.22,1.95,1.56,1.13,0.79,1.1
c_0,0.57,0.72,0.6,0.45,0.5,0.47,1.1,1.44,1.0,2.53,2.38,1.14,1.73,1.13,1.42,1.04
b_0,0.74,0.69,0.52,0.67,0.3,0.24,1.33,1.27,1.14,1.09,2.92,1.44,2.04,2.43,1.38,0.85
f_0,0.48,0.31,0.74,0.71,0.61,0.44,1.24,1.27,1.1,1.1,1.12,2.82,1.76,1.12,1.74,2.22
h_0,0.65,0.81,0.58,0.67,0.58,0.34,0.65,1.18,1.27,1.08,1.24,1.15,0.83,1.07,1.6,1.09
a_0,0.6,0.69,0.75,0.6,0.47,0.15,1.27,1.34,1.13,1.12,1.14,1.47,2.2,3.13,1.8,1.11
g_0,0.49,0.55,1.02,0.6,0.62,0.44,0.83,1.05,0.58,1.36,1.11,1.82,1.52,0.85,1.14,1.14
e_0,0.32,0.76,0.81,0.63,0.48,0.4,1.08,1.23,0.91,1.34,1.41,1.18,1.89,1.1,1.45,3.16
