,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.05,1.38,1.89,2.42,1.86,1.88,0.76,0.74,0.72,0.54,0.49,0.54,0.44,0.8,0.51,0.5
f_1,2.35,1.06,1.87,1.91,2.07,1.44,0.58,0.65,0.81,0.54,0.56,0.61,0.37,0.39,0.47,0.43
d_1,2.57,2.5,1.05,2.16,2.13,1.66,0.8,1.09,0.54,0.66,0.59,0.6,0.46,0.61,0.48,0.33
c_1,1.79,2.48,2.55,1.06,2.73,1.94,0.84,0.4,0.93,0.9,0.7,0.69,0.51,0.52,0.51,0.39
b_1,2.69,2.4,2.59,1.48,1.06,2.78,0.9,0.78,0.96,0.83,1.42,0.77,0.74,0.65,0.77,0.53
a_1,3.45,4.03,3.97,3.36,1.86,1.07,1.45,1.14,1.14,1.3,1.21,0.96,0.84,1.0,1.47,0.9
h_1,5.76,6.78,5.52,5.62,5.32,4.08,1.34,1.9,2.32,1.64,1.61,1.28,1.73,1.33,1.43,1.23
d_0,4.22,6.66,8.2,9.02,5.94,5.35,2.63,1.48,2.54,2.05,1.85,1.78,1.37,1.45,1.7,1.61
g_1,6.77,7.41,7.3,6.32,6.32,5.49,1.97,2.06,1.34,1.99,1.94,1.99,1.24,1.74,1.58,1.52
c_0,8.46,7.22,4.36,11.33,7.16,4.68,2.8,2.48,2.21,1.48,2.3,1.91,1.52,1.8,1.77,1.38
b_0,8.25,6.99,6.24,8.82,9.66,6.23,2.9,2.57,2.82,1.42,1.5,2.15,1.75,1.96,2.17,1.67
f_0,8.13,12.53,7.15,8.17,7.35,6.14,3.52,2.09,1.88,2.5,2.36,1.51,1.73,2.08,1.8,1.22
h_0,8.95,10.57,9.05,9.58,7.02,7.85,4.15,3.05,3.39,2.76,2.54,2.66,2.88,2.3,2.0,2.32
e_0,11.02,15.72,9.26,12.4,10.33,8.09,3.76,3.17,3.31,3.03,2.84,1.84,2.28,1.55,2.19,2.09
a_0,11.22,10.81,9.83,11.66,12.35,12.57,4.21,3.4,3.54,2.84,1.63,4.02,2.67,3.31,1.61,2.26
g_0,11.18,13.1,13.29,11.91,11.25,8.31,3.78,3.26,5.26,3.67,3.97,3.57,2.07,2.7,2.9,2.89
