,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.19,11.75,12.02,13.64,9.94,12.22,2.53,2.41,4.61,3.21,2.3,,1.3,2.35,4.75,1.83
e_1,7.02,0.17,13.32,12.38,11.92,15.59,3.86,2.53,3.64,3.31,2.95,2.58,1.62,2.79,,2.13
c_1,14.29,15.9,0.16,11.68,14.19,11.83,3.34,1.59,3.1,,2.71,2.76,2.0,2.56,1.74,1.52
d_1,15.29,14.7,13.09,0.15,12.61,11.8,2.86,,2.67,1.98,2.42,2.44,1.68,4.13,2.22,1.32
b_1,9.94,16.04,7.98,12.61,0.13,12.12,4.3,2.84,3.67,2.77,,2.16,1.89,2.65,1.88,1.81
a_1,12.22,18.52,12.37,12.98,6.98,0.1,4.14,3.03,,3.2,2.96,2.49,1.45,,,
h_1,3.18,3.44,3.55,3.72,2.68,3.06,0.07,0.81,0.83,0.67,0.57,0.59,,0.91,0.7,0.35
d_0,2.86,1.3,2.67,,2.95,2.48,0.67,0.08,0.83,0.39,0.53,0.63,0.39,0.43,0.54,0.41
g_1,3.62,2.86,3.95,3.45,3.19,,0.75,0.76,0.05,0.91,1.01,0.71,0.34,0.64,0.72,
c_0,2.43,2.02,,1.63,4.5,2.23,0.65,0.5,0.68,0.08,0.53,0.89,0.42,0.38,0.44,0.35
b_0,2.87,4.08,2.31,2.5,,3.15,0.52,0.51,0.63,0.26,0.07,0.58,0.28,,0.53,0.39
f_0,,2.33,2.07,3.17,2.44,2.21,0.82,0.49,0.32,0.73,0.58,0.06,0.42,0.75,0.42,0.24
h_0,1.83,2.1,1.61,1.38,1.49,2.18,,0.23,0.58,0.32,0.31,0.29,,0.27,0.3,0.33
a_0,2.99,3.07,3.75,2.56,4.33,,0.73,0.59,0.64,0.53,,0.38,0.33,0.05,,0.53
e_0,3.35,,2.87,4.23,3.75,,0.6,0.49,0.85,0.51,0.5,0.17,0.39,,0.04,
g_0,1.61,1.65,1.52,1.45,1.42,,0.49,0.38,,0.34,0.3,0.63,0.17,0.32,,
