,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,95.47,44.33,61.39,107.02,120.77,418.06,7266.21,14105.07,31583.33,18628.97,31705.81,34171.63,93881.98,87724.52,82007.58,128928.35
f_1,68.62,100.68,64.61,86.31,105.04,307.34,5880.54,11475.7,16445.22,16476.79,16576.41,31601.15,70870.13,59500.81,76851.45,157108.92
d_1,42.18,42.35,132.22,65.12,102.88,392.06,5292.77,11052.91,11264.28,29491.66,27181.44,33318.62,81028.14,62095.02,97697.08,117206.2
c_1,30.94,41.87,55.73,170.7,139.93,256.54,4891.47,9220.32,11578.53,8384.34,21344.9,20974.06,69652.29,63735.82,87903.69,118191.36
b_1,31.24,38.18,44.09,60.98,205.78,495.38,5526.39,10530.0,12883.97,16882.55,22681.18,17246.37,62206.85,55173.79,69111.06,116941.1
a_1,19.28,28.07,32.03,54.67,45.97,593.94,3676.99,4914.53,8256.69,9549.3,13499.78,17796.66,37155.13,24236.47,40350.29,85422.88
h_1,11.01,15.22,18.89,24.31,26.24,95.12,2850.11,4418.62,4246.56,4970.08,7643.19,8568.58,16009.66,18402.82,28051.65,48061.62
g_1,8.5,9.64,19.86,17.55,20.46,91.44,1263.85,4815.5,3338.49,3996.88,8924.54,7302.14,16138.0,18367.47,27351.97,22210.64
d_0,6.55,9.01,10.77,29.95,23.66,82.51,1378.11,2436.22,4898.73,3340.17,5788.7,6824.49,15575.76,16061.86,20632.23,32956.41
c_0,9.2,9.57,11.28,12.89,18.58,75.91,1271.87,2339.98,3632.38,5649.06,6365.12,12081.29,17139.9,16774.71,19366.43,34514.59
f_0,6.32,6.28,12.74,18.35,18.94,71.88,1234.58,1981.61,2929.97,3322.55,7471.76,6708.15,15121.14,15463.91,29512.02,28925.2
b_0,7.65,7.74,11.93,16.23,13.95,52.07,989.77,1962.43,2792.48,2217.69,4752.71,8546.73,15777.25,22399.53,19052.36,28011.95
h_0,5.08,8.15,8.4,12.13,13.82,44.75,598.3,1900.85,2382.34,2178.02,3374.12,3765.53,8422.51,9140.97,12850.88,23706.14
a_0,4.77,6.57,9.83,11.21,13.4,42.92,908.9,1479.75,2148.2,2141.94,3387.97,3433.17,12451.24,15922.33,14058.4,18544.57
e_0,3.58,6.65,7.65,10.54,13.54,44.65,796.64,1222.55,2032.33,2599.69,2762.05,4047.12,9659.35,9939.74,19532.36,18792.57
g_0,4.55,4.32,10.9,10.79,10.56,34.56,657.65,1062.15,1587.98,1988.29,3165.01,3507.0,7847.61,8435.35,9613.92,12104.15
