,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.42,0.53,1.01,1.04,0.93,0.85,0.55,0.53,0.56,0.46,0.5,0.43,0.36,0.45,0.64,0.39
f_1,1.02,0.42,0.77,0.87,0.84,0.77,0.37,0.47,0.41,0.33,0.57,0.36,0.27,0.35,0.3,0.38
d_1,0.86,1.0,0.38,0.86,0.95,0.89,0.42,0.31,0.67,0.46,0.33,0.38,0.34,0.32,0.42,0.23
c_1,0.74,0.94,1.0,0.38,1.02,0.8,0.55,0.49,0.25,0.54,0.37,0.37,0.32,0.45,0.35,0.32
b_1,0.86,1.06,0.91,0.54,0.37,1.12,0.49,0.61,0.38,0.5,0.42,0.57,0.34,0.39,0.42,0.33
a_1,0.97,1.09,0.79,1.07,0.53,0.31,0.48,0.49,0.46,0.37,0.45,0.49,0.47,0.86,0.34,0.42
h_1,0.75,0.87,0.81,0.72,0.72,0.88,0.26,0.51,0.37,0.33,0.36,0.32,0.35,0.34,0.36,0.3
g_1,0.71,0.82,0.92,0.86,0.69,0.86,0.31,0.23,0.35,0.33,0.39,0.4,0.25,0.35,0.33,0.36
d_0,0.46,0.82,1.2,1.03,0.81,0.81,0.49,0.55,0.25,0.32,0.38,0.37,0.31,0.36,0.38,0.38
c_0,0.8,0.93,0.46,1.36,0.71,0.8,0.42,0.46,0.5,0.25,0.37,0.54,0.34,0.38,0.39,0.35
f_0,0.71,0.96,0.91,0.84,0.68,0.72,0.43,0.29,0.36,0.34,0.23,0.35,0.3,0.33,0.45,0.21
b_0,0.79,0.81,0.69,1.0,1.05,0.64,0.44,0.39,0.35,0.19,0.4,0.24,0.28,0.48,0.39,0.34
h_0,0.77,0.84,0.83,0.77,0.77,0.6,0.55,0.43,0.39,0.35,0.29,0.35,0.39,0.28,0.33,0.3
a_0,0.71,0.78,0.82,0.9,0.93,0.76,0.42,0.41,0.42,0.33,0.38,0.22,0.32,0.2,0.42,0.33
e_0,0.95,1.3,0.7,0.92,0.75,0.82,0.43,0.38,0.32,0.28,0.19,0.31,0.24,0.3,0.2,0.27
g_0,0.7,0.82,0.88,0.81,0.87,0.72,0.38,0.53,0.35,0.3,0.37,0.28,0.23,0.3,0.32,0.33
