,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.33,0.23,0.18,0.2,0.2,0.32,0.51,1.04,0.51,0.71,0.78,0.6,0.68,0.9,0.75,
f_1,0.43,2.34,0.28,0.28,0.3,0.25,0.62,0.56,0.49,0.73,0.48,,0.57,0.72,0.76,0.35
d_1,0.32,0.29,2.49,0.24,0.25,0.31,0.59,,0.48,1.04,0.58,0.64,0.66,0.68,0.58,0.67
c_1,0.37,0.28,0.33,2.57,0.45,0.23,0.52,0.55,0.64,,0.57,0.56,0.59,0.73,0.45,0.56
b_1,0.31,0.23,0.29,0.23,2.92,0.37,0.66,0.46,0.63,0.43,,0.65,,1.04,0.58,0.87
a_1,0.2,0.23,0.23,0.3,0.23,3.31,0.58,0.7,0.61,0.52,0.51,0.51,,1.05,1.23,
h_1,0.52,0.56,0.58,0.5,0.53,0.53,3.64,0.94,1.35,1.45,1.18,1.2,1.29,,1.34,1.54
d_0,0.45,0.61,,1.07,0.83,0.56,1.29,3.44,1.39,1.29,1.35,1.23,1.1,1.72,1.65,1.31
g_1,0.47,0.6,0.82,0.47,0.46,0.5,0.9,0.91,4.32,1.18,1.32,2.05,,1.0,,1.42
c_0,0.65,0.53,0.45,,0.77,0.7,0.97,1.61,1.13,3.58,1.8,1.71,1.07,2.1,2.25,1.14
b_0,0.58,0.79,0.66,0.59,,0.56,1.26,1.25,1.03,1.28,3.85,1.27,2.15,1.6,1.47,1.35
f_0,0.6,,0.66,0.69,0.6,0.77,1.2,1.33,0.72,1.2,1.2,3.84,1.94,1.86,1.64,2.27
a_0,0.54,0.57,0.52,0.64,,,1.33,1.85,,1.38,1.07,1.11,4.4,1.85,2.27,
h_0,0.63,1.03,0.76,0.71,0.41,0.85,,1.87,2.13,1.49,1.73,1.39,1.61,,2.64,1.85
g_0,0.73,0.67,1.14,0.88,0.94,0.48,1.63,1.41,,1.22,2.24,2.4,1.13,1.76,,1.23
e_0,,1.0,0.64,0.66,0.55,,1.01,1.7,0.97,1.63,1.16,1.13,,1.56,2.47,4.54
