,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.23,0.95,0.49,0.49,0.37,0.29,0.79,0.84,0.86,0.71,0.91,0.4,1.26,0.77,0.97,0.57
e_1,0.5,2.28,0.39,0.55,0.5,0.4,0.74,0.72,1.96,0.98,1.02,0.94,0.99,0.77,1.07,0.33
d_1,0.59,0.38,2.4,0.39,0.39,0.37,1.03,0.89,0.43,1.93,1.29,1.08,1.41,0.84,1.06,0.87
c_1,0.54,0.5,0.4,2.45,0.83,0.33,0.94,0.7,0.9,0.43,0.64,1.07,1.13,0.94,0.92,0.7
b_1,0.51,0.5,0.41,0.52,2.61,0.76,0.9,0.66,0.93,0.84,0.31,0.73,1.46,0.52,1.21,0.78
a_1,0.6,0.43,0.58,0.43,0.45,3.03,0.9,0.84,0.96,0.94,1.0,0.96,1.58,0.44,0.97,0.75
h_1,0.91,0.58,0.64,0.53,0.44,0.32,2.95,1.32,1.19,1.36,1.15,0.93,0.85,0.98,1.9,0.95
g_1,0.55,0.54,0.93,0.61,0.47,0.42,1.09,3.21,1.11,1.14,1.17,1.65,1.41,1.12,0.83,0.91
d_0,0.68,0.53,0.34,1.15,0.48,0.43,1.08,0.71,2.56,0.94,1.32,1.04,1.29,0.91,1.14,1.35
c_0,0.75,0.53,0.77,0.37,0.34,0.41,1.2,1.1,1.18,2.64,2.43,0.96,1.95,1.33,1.71,1.39
b_0,0.77,0.51,0.68,0.6,0.23,0.38,1.26,1.17,1.31,1.27,2.77,1.08,1.59,2.0,1.58,1.17
f_0,0.36,0.44,0.81,0.65,0.53,0.5,1.2,0.89,1.43,1.72,1.38,2.87,1.54,0.99,1.83,2.16
h_0,0.94,0.59,0.65,0.6,0.54,0.38,0.64,1.29,1.1,1.13,1.24,1.04,1.02,1.1,1.94,0.93
a_0,0.88,0.49,0.67,0.51,0.52,0.21,1.32,0.99,1.2,1.14,1.24,1.34,1.75,3.06,1.51,1.42
g_0,0.55,0.5,1.0,0.6,0.51,0.43,0.84,0.66,1.04,1.27,1.42,1.88,1.49,0.96,0.99,0.99
e_0,0.85,0.32,0.63,0.68,0.48,0.42,1.21,1.06,1.39,1.26,1.47,1.06,2.06,1.52,1.48,3.21
