,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.69,0.94,0.95,0.88,0.92,0.99,1.65,1.07,1.02,1.0,0.98,1.09,1.15,,0.86
f_1,1.44,1.0,0.82,0.93,1.11,1.22,0.81,1.03,1.1,1.08,0.9,,0.79,0.87,1.05,1.04
d_1,1.07,1.21,1.0,1.02,0.81,1.0,1.28,,0.79,1.12,0.92,1.14,1.02,0.77,1.22,0.74
c_1,1.06,1.08,0.98,1.0,1.2,0.88,1.13,0.73,1.08,,1.15,0.96,0.93,1.21,1.05,0.98
b_1,1.14,0.9,1.23,0.83,1.0,1.59,0.73,0.84,1.14,1.31,,1.03,1.04,1.07,,0.95
a_1,1.09,0.82,1.0,1.14,0.63,1.0,1.13,0.88,1.18,0.8,1.25,0.92,1.39,,,1.1
h_1,1.01,1.24,0.78,0.88,1.38,0.88,1.0,1.04,0.91,0.8,1.05,0.86,,0.79,1.08,1.3
d_0,0.6,0.97,,1.37,1.19,1.13,0.96,1.0,0.98,0.84,1.09,1.0,1.05,1.0,1.02,1.11
g_1,0.94,0.91,1.26,0.92,0.88,0.85,1.1,1.02,1.0,1.11,0.73,1.19,0.91,1.26,0.93,
c_0,0.98,0.93,0.9,,0.76,1.25,1.25,1.2,0.9,1.0,1.43,0.97,0.88,1.03,0.74,0.89
b_0,1.0,1.11,1.09,0.87,,0.8,0.95,0.92,1.37,0.7,1.0,1.18,1.04,1.15,1.08,1.07
f_0,1.02,,0.88,1.04,0.97,1.08,1.16,1.0,0.84,1.03,0.85,1.0,1.14,0.89,1.35,0.83
h_0,0.92,1.27,0.98,1.08,0.96,0.72,,0.95,1.1,1.14,0.96,0.88,,0.81,0.8,1.46
a_0,0.87,1.15,1.31,0.83,0.94,,1.26,1.0,0.79,0.97,0.87,1.13,1.24,1.0,,0.89
e_0,,0.95,0.82,0.96,,,0.92,0.98,1.07,1.36,0.93,0.74,1.25,,1.0,1.05
g_0,1.16,0.96,1.36,1.02,1.05,0.91,0.77,0.9,,1.12,0.93,1.21,0.68,1.12,0.95,
