,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.38,1.32,1.13,1.19,1.1,0.44,0.46,0.6,0.41,0.45,0.62,0.3,0.42,0.4,0.36
e_1,0.85,0.66,1.55,1.4,1.39,1.13,0.58,0.6,0.69,0.59,0.48,0.54,0.41,0.44,0.83,0.48
c_1,1.48,1.05,0.64,1.49,1.49,1.21,0.62,0.34,0.56,0.52,0.43,0.43,0.43,0.42,0.45,0.35
d_1,1.5,1.6,1.41,0.64,1.46,1.04,0.54,0.76,0.38,0.52,0.51,0.42,0.36,0.42,0.4,0.29
b_1,1.56,1.4,0.85,1.52,0.62,1.72,0.81,0.55,0.65,0.65,0.93,0.6,0.44,0.56,0.44,0.41
a_1,1.95,1.77,1.55,1.91,0.9,0.57,0.92,0.68,0.89,0.62,0.98,0.63,0.56,1.05,0.63,0.43
h_1,2.11,1.96,2.04,2.12,1.79,1.71,0.56,0.72,1.05,0.75,0.7,0.71,0.76,0.65,0.68,0.72
d_0,2.27,1.39,2.58,2.41,2.02,1.95,1.14,0.61,0.93,0.69,0.74,0.68,0.66,0.78,0.68,0.75
g_1,2.39,2.13,2.39,2.5,2.15,1.55,0.78,0.88,0.54,0.81,0.79,0.84,0.54,0.73,0.83,0.84
c_0,2.47,2.29,4.15,1.35,2.36,1.9,1.05,1.09,0.9,0.59,0.86,0.81,0.79,0.81,0.74,0.71
b_0,2.26,2.29,3.11,1.76,3.12,2.32,1.08,0.87,1.04,0.56,0.56,0.96,0.8,0.96,0.69,0.76
f_0,2.84,2.38,2.56,2.71,1.92,2.16,1.1,1.07,0.66,0.9,0.81,0.58,0.72,0.76,0.97,0.52
h_0,2.72,2.68,2.38,2.4,2.45,1.92,1.44,0.99,1.34,0.81,0.87,0.78,0.93,0.8,0.83,0.75
a_0,2.86,2.69,2.57,2.48,3.02,3.27,1.22,0.99,1.26,0.91,0.6,0.97,0.82,0.57,1.0,0.66
e_0,3.64,3.05,2.43,2.58,2.45,2.44,1.17,1.1,0.99,0.88,0.97,0.54,0.73,0.83,0.56,0.77
g_0,2.94,2.48,2.89,2.98,2.82,2.99,0.92,0.96,1.44,0.97,0.89,1.02,0.69,0.9,0.95,0.96
