,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.69,0.54,1.26,0.53,0.48,0.41,0.77,0.69,0.76,0.83,0.88,0.28,0.83,0.78,0.55,0.89
d_1,0.6,18.37,0.46,0.38,0.5,0.57,1.07,0.96,2.19,0.43,1.29,1.15,0.92,1.08,1.09,0.79
e_1,0.63,0.43,18.12,0.66,0.5,0.48,0.9,0.89,0.85,2.12,0.86,1.1,1.11,1.0,0.58,0.93
c_1,0.53,0.49,0.48,19.64,1.25,0.4,0.91,0.76,0.26,0.79,0.66,0.93,0.83,0.83,0.75,0.87
b_1,0.47,0.53,0.46,0.52,22.31,1.38,0.65,0.74,0.61,0.76,0.26,0.77,0.92,0.78,1.02,1.19
a_1,0.55,0.54,0.34,0.57,0.6,33.68,1.11,0.94,0.99,0.68,0.97,1.1,1.31,0.37,1.12,1.0
h_1,0.92,0.61,0.66,0.86,0.34,0.63,6.47,1.38,1.07,0.96,1.46,1.08,0.64,1.1,1.14,2.02
g_1,0.5,1.43,0.45,0.68,0.66,0.64,0.89,7.13,1.15,1.05,1.19,1.98,0.95,1.1,1.23,0.68
c_0,0.85,0.94,0.66,0.46,0.38,0.57,1.1,1.28,3.49,1.22,2.98,1.42,1.45,1.35,1.2,1.34
d_0,0.69,0.29,0.67,1.66,0.58,0.67,1.17,1.03,0.76,3.43,1.52,1.34,1.05,1.29,1.15,0.98
b_0,0.8,0.98,0.7,0.75,0.22,0.49,1.08,1.26,1.31,1.0,3.99,1.21,1.51,2.81,1.2,1.22
f_0,0.36,0.81,0.48,1.01,0.55,0.63,1.04,1.19,1.16,1.56,1.32,3.64,1.38,1.26,3.77,1.28
h_0,1.14,0.93,0.66,0.55,0.59,0.6,0.42,1.8,1.41,1.21,1.01,1.06,0.72,1.04,1.2,1.75
a_0,0.73,0.82,0.71,1.04,0.5,0.34,0.92,1.14,1.37,1.28,1.11,1.1,1.36,5.13,1.52,1.24
e_0,0.84,0.83,0.35,0.63,0.56,0.78,1.35,1.44,1.41,1.26,1.84,1.04,1.44,1.63,5.04,1.21
g_0,0.6,1.43,0.55,0.64,0.6,0.61,1.02,0.82,1.07,0.89,1.29,2.34,1.23,0.98,1.48,0.65
