,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.52,0.73,0.87,0.72,0.63,0.7,0.78,0.71,1.35,0.85,0.83,0.78,0.76,0.88,0.52,0.9
f_1,1.17,1.54,0.8,0.68,0.63,0.53,0.63,0.76,0.87,0.9,0.84,0.47,0.68,0.87,0.62,0.82
c_1,0.65,0.72,1.56,0.71,1.16,0.59,0.91,0.8,0.75,0.71,0.45,0.93,0.79,0.9,0.72,0.92
d_1,0.69,0.78,0.7,1.57,0.73,0.63,0.97,0.82,0.77,1.05,1.35,0.89,0.74,0.81,0.83,0.7
b_1,0.8,0.81,0.62,0.72,1.6,1.13,0.88,0.73,0.78,0.56,0.94,0.74,0.61,1.07,0.72,0.97
a_1,0.78,0.88,0.81,0.87,0.6,1.7,1.24,0.98,0.94,0.98,0.88,0.85,0.69,1.1,0.81,0.92
h_1,0.97,1.45,0.84,0.96,0.98,0.64,1.77,1.32,1.12,1.11,1.15,0.95,1.02,1.02,1.11,1.43
g_1,0.98,0.96,0.97,1.38,0.88,0.63,1.06,1.83,1.01,1.16,1.08,1.53,0.89,1.09,1.19,0.96
d_0,0.85,1.05,1.66,0.71,1.06,0.8,1.12,1.03,1.63,1.28,0.87,1.08,1.03,1.4,1.07,1.11
b_0,1.05,1.01,1.11,1.07,0.66,0.73,1.2,1.09,1.09,1.73,1.2,1.23,1.94,1.42,1.09,1.13
c_0,1.15,1.11,0.92,0.95,0.77,0.92,1.17,1.07,1.44,1.92,1.68,1.24,1.17,1.38,1.13,1.18
f_0,0.96,0.89,1.07,1.06,1.18,0.83,1.23,1.04,1.2,1.29,1.17,1.77,1.27,1.42,1.91,1.04
a_0,1.07,1.18,1.04,1.22,1.19,0.67,1.14,1.2,1.33,1.14,1.21,1.09,1.76,1.64,1.09,1.52
h_0,1.13,1.46,1.09,1.19,0.9,0.79,0.98,1.46,1.07,1.15,1.14,1.15,1.12,1.07,0.92,1.4
e_0,1.0,1.33,1.19,1.03,0.95,0.72,1.17,1.05,1.24,1.42,1.3,1.14,1.41,1.59,1.79,1.44
g_0,1.19,0.97,1.03,1.66,0.91,0.82,1.05,0.85,1.23,1.48,1.24,1.75,1.16,1.24,1.09,1.13
