,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.25,0.96,0.98,0.94,0.76,0.68,0.5,0.88,0.59,0.68,0.58,0.62,0.51,0.48,0.43
e_1,0.8,1.0,0.7,1.1,0.94,0.9,0.87,0.78,0.67,0.93,0.75,0.63,0.66,0.6,0.59,0.67
f_1,1.05,1.42,1.0,0.97,0.74,0.83,0.67,0.59,0.57,0.62,0.61,0.61,0.51,0.49,0.52,0.57
c_1,1.02,0.91,1.03,1.0,1.3,0.82,0.85,0.76,0.7,0.49,0.41,0.54,0.66,0.71,0.57,0.69
b_1,1.06,1.07,1.36,0.77,1.0,1.25,0.61,0.64,0.72,0.77,0.72,0.66,0.63,0.67,0.46,0.55
a_1,1.32,1.12,1.2,1.23,0.8,1.0,0.83,0.7,0.79,0.77,0.96,0.83,0.8,0.57,,0.61
h_1,1.51,1.11,1.55,1.17,1.72,1.2,1.0,1.28,0.95,0.85,0.86,0.96,0.85,0.95,0.78,0.8
g_1,2.01,1.2,1.61,1.32,1.55,1.34,0.78,1.0,0.78,0.85,0.96,1.1,0.57,0.65,0.9,0.82
c_0,1.19,1.43,1.85,1.58,1.43,1.24,1.03,1.28,1.0,1.08,1.39,0.92,1.08,0.94,1.1,0.86
d_0,1.64,0.98,1.79,2.01,1.3,1.22,1.2,1.27,0.91,1.0,0.86,1.05,0.9,0.91,0.94,0.89
b_0,1.49,1.28,1.66,2.54,1.31,1.06,1.12,1.01,0.71,1.17,1.0,0.87,0.92,0.86,1.45,0.83
f_0,1.74,1.45,1.67,1.78,1.56,1.22,1.03,0.93,1.12,1.02,1.17,1.0,0.99,0.74,0.99,1.2
h_0,1.67,1.52,2.0,1.58,1.5,1.23,1.29,1.74,0.96,1.09,1.04,0.96,1.0,1.17,0.73,1.0
g_0,1.96,1.59,1.92,1.45,1.49,1.7,1.04,1.55,1.04,1.07,1.06,1.41,0.84,1.0,1.02,1.12
a_0,2.02,1.68,1.9,1.76,2.14,,1.23,1.17,0.89,1.09,0.73,1.01,1.42,0.99,1.0,0.97
e_0,2.16,1.58,1.88,1.47,1.9,1.51,1.25,1.18,1.16,1.21,1.25,0.86,0.96,0.89,1.08,1.0
