,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.18,6.66,11.04,13.63,14.9,11.52,3.76,4.26,2.78,2.38,3.34,2.4,1.94,1.99,3.8,
f_1,12.01,0.17,14.54,13.27,11.45,12.68,2.53,3.24,2.39,3.43,2.23,,1.13,2.09,3.7,2.6
d_1,13.02,15.95,0.16,10.71,13.34,22.34,3.36,2.16,,2.66,3.12,2.29,1.91,0.83,2.38,3.78
c_1,12.27,14.05,15.68,0.15,12.08,11.26,4.33,3.29,1.76,,2.04,2.28,1.97,2.02,1.92,2.31
b_1,12.08,13.19,13.34,8.4,0.14,11.24,3.14,4.66,1.98,3.94,,2.97,1.53,1.57,3.22,2.86
a_1,14.26,15.35,16.76,11.77,8.74,0.09,4.2,4.32,2.66,2.95,2.82,2.61,1.84,1.49,,
h_1,2.51,3.66,3.78,2.79,3.81,3.11,0.07,0.72,0.72,0.54,0.55,0.9,,0.58,0.75,0.67
g_1,4.26,2.96,4.14,2.88,3.64,3.12,0.85,0.06,0.86,0.51,0.68,0.59,0.44,,0.91,0.59
d_0,1.55,2.51,,2.69,2.6,2.14,0.72,0.79,0.09,0.51,0.45,0.78,0.27,0.42,0.5,0.5
c_0,3.52,1.97,1.25,,2.2,3.58,0.81,0.85,0.59,0.08,0.61,0.53,0.44,0.5,0.31,
b_0,2.5,2.44,2.39,4.07,,3.25,0.62,0.94,0.47,0.26,0.07,0.59,0.36,0.33,0.38,0.65
f_0,2.83,,2.36,2.98,2.84,2.99,0.52,0.42,0.57,0.43,0.53,0.07,0.35,0.21,0.67,
h_0,1.84,1.74,1.6,1.47,1.21,2.05,,0.52,0.27,0.5,0.32,0.28,,0.27,0.22,0.37
g_0,2.24,2.27,2.0,1.93,1.76,1.49,0.35,,0.31,0.26,0.32,0.29,0.19,,,0.28
a_0,3.55,4.71,1.83,2.3,3.22,,0.6,0.67,0.47,0.49,0.33,0.46,0.31,,0.05,
e_0,,2.6,3.03,3.99,3.07,,0.6,0.63,0.63,,0.51,,0.26,0.37,,0.04
