,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.06,1.99,1.26,2.3,2.22,1.8,0.83,0.85,0.7,0.58,0.71,0.66,0.6,0.87,0.6,0.53
d_1,2.31,1.06,2.25,1.95,1.97,1.72,0.76,0.55,0.85,0.63,0.54,0.6,0.45,0.51,0.51,0.3
f_1,2.73,1.94,1.06,2.16,1.77,1.57,0.61,0.86,0.74,0.6,0.76,0.55,0.33,0.5,0.5,0.52
c_1,1.88,2.92,2.34,1.06,2.86,1.81,0.93,0.83,0.44,0.87,0.63,0.59,0.58,0.54,0.57,0.44
b_1,2.48,2.64,3.27,1.48,1.06,3.07,0.96,0.99,0.79,0.99,0.71,1.24,0.62,0.74,0.57,0.6
a_1,3.74,3.27,3.84,3.33,1.65,1.07,1.32,1.2,0.95,1.05,1.04,1.13,0.71,0.82,1.64,0.74
h_1,5.59,5.71,6.17,5.66,5.25,4.4,1.32,2.35,1.72,1.66,1.76,1.53,1.8,1.57,1.48,1.2
g_1,5.54,6.1,6.82,5.71,5.7,4.97,1.78,1.34,1.79,1.78,1.95,1.8,1.02,1.44,1.52,1.47
d_0,4.3,10.09,6.31,7.3,6.07,5.9,2.8,2.58,1.49,2.18,1.79,1.67,1.46,1.51,1.48,1.43
c_0,7.44,4.36,7.31,11.49,6.14,5.31,2.6,2.57,2.69,1.49,2.05,2.26,1.57,1.89,1.87,1.6
f_0,6.06,7.28,14.2,7.51,7.25,6.59,2.79,1.86,2.27,2.23,1.48,2.24,1.73,2.42,1.64,1.19
b_0,7.79,6.14,7.43,8.95,8.23,5.54,3.05,2.85,3.0,1.47,2.38,1.48,1.66,1.9,1.98,1.66
h_0,8.35,8.7,12.15,8.46,8.16,7.27,4.14,3.95,2.78,2.46,2.41,2.55,2.81,2.17,1.92,1.87
e_0,9.96,9.68,15.06,11.38,9.36,7.36,3.39,3.58,2.93,2.8,1.61,2.71,2.05,1.57,2.4,1.71
a_0,9.46,9.61,10.34,13.69,16.12,9.53,4.15,3.98,3.88,2.34,3.25,1.75,2.52,2.39,1.57,2.16
g_0,10.15,12.1,11.03,13.07,10.72,9.12,3.34,4.85,3.25,3.56,3.08,3.34,2.19,2.69,2.47,3.05
