,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.42,0.97,0.79,0.9,0.84,0.74,0.36,0.45,0.45,0.37,0.55,0.43,0.25,0.37,0.34,0.41
e_1,0.59,0.41,0.9,0.96,0.91,0.92,0.53,0.53,0.49,0.41,0.51,0.5,0.36,0.46,0.72,0.37
d_1,0.95,0.96,0.41,0.85,0.85,0.8,0.46,0.37,0.74,0.42,0.34,0.35,0.34,0.34,0.43,0.24
c_1,0.9,0.81,0.97,0.38,1.03,0.88,0.46,0.48,0.23,0.44,0.37,0.33,0.33,0.4,0.37,0.33
b_1,1.02,0.77,0.99,0.55,0.36,1.06,0.55,0.52,0.4,0.43,0.38,0.69,0.41,0.34,0.4,0.33
a_1,0.98,1.04,0.93,1.08,0.51,0.3,0.44,0.44,0.36,0.5,0.47,0.5,0.38,0.67,0.38,0.34
h_1,0.83,0.82,0.8,0.82,0.66,0.7,0.25,0.45,0.38,0.32,0.32,0.36,0.38,0.35,0.28,0.33
g_1,0.82,0.75,0.82,0.84,0.8,0.72,0.35,0.24,0.34,0.39,0.41,0.34,0.21,0.42,0.4,0.32
d_0,0.84,0.5,1.14,1.02,0.69,1.07,0.43,0.49,0.25,0.36,0.41,0.33,0.31,0.38,0.26,0.37
c_0,0.89,0.74,0.5,1.61,0.89,0.76,0.52,0.44,0.48,0.25,0.33,0.44,0.33,0.4,0.39,0.28
f_0,1.09,0.62,0.75,0.81,0.86,0.79,0.49,0.32,0.3,0.36,0.23,0.31,0.33,0.37,0.4,0.23
b_0,0.73,0.68,0.69,1.11,1.31,0.75,0.43,0.41,0.38,0.2,0.43,0.23,0.31,0.5,0.3,0.3
h_0,0.92,0.71,0.68,0.82,0.72,0.66,0.62,0.54,0.37,0.32,0.34,0.32,0.39,0.32,0.28,0.35
a_0,0.72,0.72,0.81,0.82,1.13,1.1,0.45,0.35,0.33,0.28,0.39,0.2,0.3,0.2,0.36,0.31
e_0,0.94,1.03,0.67,0.74,0.82,0.79,0.46,0.36,0.47,0.3,0.21,0.38,0.39,0.32,0.2,0.25
g_0,0.79,0.7,0.78,0.85,0.83,0.74,0.34,0.61,0.34,0.34,0.32,0.32,0.22,0.31,0.38,0.37
