,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.7,1.08,1.28,1.7,3.91,17.19,35.44,40.74,45.84,50.27,49.86,83.44,99.82,,143.63
f_1,1.44,1.0,1.32,1.44,1.56,3.92,13.94,25.32,23.11,40.13,,58.27,59.81,72.79,81.62,118.68
c_1,0.93,0.76,1.0,1.19,1.33,3.07,15.86,22.35,16.14,,46.01,38.79,75.86,74.41,75.74,99.37
d_1,0.78,0.7,0.84,1.0,1.04,3.22,14.36,17.21,,36.75,50.71,37.51,64.23,58.67,90.08,77.11
b_1,0.59,0.64,0.75,0.96,1.0,3.51,13.8,18.78,17.95,35.46,39.12,,,63.66,61.29,117.55
a_1,0.26,0.26,0.33,0.31,0.29,1.0,4.97,,6.95,14.29,9.29,12.18,,22.75,,
h_1,0.06,0.07,0.06,0.07,0.07,0.2,1.0,1.88,1.76,3.1,2.09,2.5,4.2,,6.35,7.52
g_1,0.03,0.04,0.04,0.06,0.05,,0.53,1.0,1.08,1.93,2.27,1.68,3.25,2.98,4.33,
d_0,0.02,0.04,0.06,,0.06,0.14,0.57,0.93,1.0,1.83,1.48,2.09,2.93,3.26,4.2,5.84
c_0,0.02,0.02,,0.03,0.03,0.07,0.32,0.52,0.55,1.0,1.16,1.71,1.38,1.95,2.16,3.86
f_0,0.02,,0.02,0.02,0.03,0.11,0.48,0.44,0.67,0.86,1.0,1.01,1.69,2.31,2.82,2.13
b_0,0.02,0.02,0.03,0.03,,0.08,0.4,0.59,0.48,0.59,0.99,1.0,2.25,1.57,2.53,2.57
a_0,0.01,0.02,0.01,0.02,,,0.24,0.31,0.34,0.72,0.59,0.44,1.0,1.08,,2.01
h_0,0.01,0.01,0.01,0.02,0.02,0.04,,0.34,0.31,0.51,0.43,0.64,0.93,,1.04,1.76
e_0,,0.01,0.01,0.01,0.02,,0.16,0.23,0.24,0.46,0.35,0.39,,0.96,1.0,1.23
g_0,0.01,0.01,0.01,0.01,0.01,,0.13,,0.17,0.26,0.47,0.39,0.5,0.57,0.81,
