,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.05,1.09,1.75,2.09,1.79,1.48,0.7,0.68,0.69,0.48,0.63,0.54,0.43,0.55,0.4,0.46
f_1,2.05,1.05,1.56,1.81,1.69,1.24,0.52,0.64,0.66,0.54,0.64,0.47,0.33,0.39,0.48,0.41
d_1,1.98,2.11,1.05,1.77,1.68,1.46,0.64,0.68,0.47,0.62,0.51,0.57,0.4,0.48,0.43,0.28
c_1,1.46,2.01,2.3,1.05,2.04,1.45,0.71,0.37,0.65,0.61,0.5,0.44,0.42,0.43,0.42,0.43
b_1,2.01,2.48,2.07,1.26,1.06,2.38,0.83,0.61,0.79,0.84,0.59,0.78,0.53,0.61,0.51,0.44
a_1,2.9,3.27,2.8,2.82,1.41,1.06,1.14,0.94,0.96,0.83,0.72,1.11,0.6,0.83,0.97,0.6
h_1,4.7,5.27,4.76,4.54,4.32,4.11,1.28,1.4,2.13,1.4,1.29,1.26,1.15,1.12,1.03,1.14
d_0,3.63,5.04,6.55,6.45,5.59,4.28,2.35,1.39,2.36,1.43,1.7,1.54,1.21,1.52,1.51,1.4
g_1,5.78,5.66,6.25,5.98,4.84,4.73,1.5,1.55,1.28,1.66,1.72,1.38,0.99,1.16,1.15,1.11
c_0,6.17,5.55,3.57,8.96,5.15,5.81,2.35,2.46,2.19,1.37,1.73,2.05,1.35,1.47,1.46,1.27
f_0,5.49,7.5,6.62,6.44,6.4,5.04,2.57,1.84,1.72,1.85,1.41,1.79,1.41,2.1,1.71,1.01
b_0,6.06,6.69,5.45,9.1,7.55,5.08,2.61,1.99,2.61,1.22,1.8,1.41,1.62,1.7,1.86,1.61
h_0,7.58,8.15,7.74,7.79,6.98,6.01,3.53,2.45,3.41,2.29,2.43,2.32,2.04,1.77,2.02,1.87
e_0,9.54,12.22,8.21,9.31,7.2,6.74,3.34,2.82,3.35,2.87,1.51,2.35,2.09,1.49,2.56,1.78
a_0,8.99,8.14,8.47,10.81,9.77,8.28,3.35,2.4,3.55,2.17,2.35,1.43,2.24,1.72,1.56,1.67
g_0,8.83,9.38,9.19,8.57,8.12,7.59,2.66,2.76,3.97,2.62,2.86,2.44,1.72,2.11,2.47,2.1
