,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.75,0.68,0.82,1.05,0.82,0.66,1.08,1.5,0.91,0.91,1.06,1.0,0.96,1.04,0.88,0.97
d_1,0.76,1.92,0.88,0.66,0.74,0.65,0.95,0.75,0.99,1.64,1.21,1.11,1.09,1.05,1.17,1.1
f_1,1.21,0.76,1.8,0.78,0.77,0.78,0.85,0.95,0.81,0.86,0.96,0.64,1.01,1.0,0.69,0.92
c_1,0.77,0.78,0.81,1.93,1.34,0.86,0.93,0.91,0.92,0.55,0.65,0.97,0.9,0.92,0.9,0.91
b_1,0.8,0.85,0.84,0.77,2.08,1.53,0.94,0.82,0.96,0.91,0.68,0.87,0.93,0.63,0.92,0.96
a_1,0.79,0.92,0.95,0.87,0.68,2.93,0.98,0.91,1.06,0.94,0.94,0.96,1.07,0.7,0.9,0.97
h_1,0.85,0.96,1.17,0.8,0.8,0.68,1.69,0.84,1.19,0.96,1.06,0.96,0.78,1.14,1.01,1.22
d_0,0.86,0.68,0.84,1.48,0.96,0.75,1.07,1.37,1.0,0.68,1.03,0.89,1.0,1.11,1.04,1.0
g_1,0.75,1.3,0.74,0.84,0.8,0.81,0.94,0.78,2.08,1.04,0.99,1.72,0.92,1.02,1.22,0.93
c_0,0.86,1.0,0.98,0.71,0.64,0.78,1.03,1.09,0.99,1.61,1.9,1.14,1.25,1.29,1.17,1.11
b_0,0.94,0.9,0.93,0.97,0.64,0.61,1.19,1.06,1.18,1.08,1.71,1.25,1.22,1.98,1.1,1.03
f_0,0.79,1.03,0.68,0.89,0.93,0.86,1.11,1.12,1.19,1.16,1.11,1.88,1.05,1.27,2.3,1.23
h_0,0.84,1.04,1.0,0.92,0.73,0.78,0.83,0.92,1.23,1.0,0.95,1.05,0.85,1.0,1.01,1.34
a_0,0.95,1.04,0.87,1.01,0.87,0.51,1.07,1.08,1.23,0.94,0.99,1.03,1.2,1.77,1.13,0.98
e_0,0.76,1.08,0.89,0.81,0.83,0.75,1.16,1.17,1.09,1.05,1.33,1.09,1.3,1.21,2.16,1.22
g_0,0.76,1.3,0.81,0.82,0.74,0.68,1.04,0.91,0.8,1.22,1.21,1.47,1.03,1.09,1.29,0.99
