,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.56,1.08,1.04,0.86,0.95,0.82,1.13,1.05,1.79,1.43,1.1,1.14,1.3,1.07,1.02,1.13
f_1,0.99,1.56,1.47,0.99,0.89,0.83,1.12,1.02,1.02,1.1,1.25,0.87,1.1,1.0,0.79,1.07
e_1,0.88,0.96,1.55,1.25,0.97,0.82,1.18,1.16,1.13,1.11,1.81,1.19,1.35,1.0,0.97,1.16
c_1,1.12,1.03,0.88,1.59,1.51,0.9,1.21,1.1,0.96,0.93,0.96,1.18,1.19,1.04,0.99,1.15
b_1,1.11,1.1,1.04,0.9,1.63,1.47,1.18,1.06,1.25,1.05,0.94,1.13,1.35,0.97,1.06,1.27
a_1,1.13,1.21,1.13,1.09,0.81,1.74,1.35,1.25,1.33,1.53,1.36,1.12,1.53,1.15,1.19,1.31
h_1,1.38,1.55,1.2,1.18,1.13,1.02,1.87,1.59,1.33,1.38,1.18,1.36,1.36,1.27,1.18,1.75
g_1,1.67,1.29,1.1,1.17,1.16,0.99,1.31,1.93,1.64,1.46,1.23,1.89,1.63,1.23,1.43,1.32
c_0,1.22,1.41,1.28,1.29,0.99,1.06,1.52,1.42,1.84,2.35,1.68,1.57,1.85,1.74,1.41,1.69
b_0,1.27,1.45,1.37,1.45,1.11,0.9,1.63,1.48,1.3,1.87,1.63,1.54,1.73,1.99,1.44,1.54
d_0,1.0,1.25,1.11,2.01,1.53,0.95,1.68,1.5,1.2,1.37,1.84,1.6,1.57,1.33,1.48,1.5
f_0,1.47,1.34,1.07,1.43,1.32,1.16,1.55,1.42,1.58,1.75,1.49,1.93,1.84,1.33,2.39,1.56
h_0,1.5,1.55,1.26,1.42,1.27,0.99,1.46,1.8,1.52,1.63,1.51,1.62,1.54,1.34,1.58,1.92
a_0,1.51,1.41,1.35,1.48,1.36,0.91,1.63,1.51,1.48,1.45,1.61,1.7,1.98,1.94,1.31,1.86
e_0,1.6,1.58,1.15,1.57,1.33,1.06,1.68,1.55,1.59,1.78,1.37,1.26,1.89,1.66,1.99,1.87
g_0,1.84,1.31,1.3,1.42,1.3,1.12,1.61,1.43,1.57,1.66,1.39,2.01,1.59,1.29,1.44,1.47
