,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.36,1.17,1.24,1.46,1.22,1.12,2.61,2.4,2.35,4.46,2.75,2.88,3.51,2.77,2.21,3.46
f_1,1.8,2.43,1.16,1.18,1.12,1.22,1.93,2.4,1.91,2.47,2.54,1.61,2.92,2.49,1.9,2.99
d_1,1.19,1.29,2.5,1.08,1.22,1.34,2.47,4.13,2.33,1.98,2.7,2.65,3.3,2.7,3.21,2.82
c_1,1.17,1.21,1.26,2.7,1.98,1.02,2.24,1.66,2.57,2.15,2.55,2.68,3.24,2.18,2.52,3.36
b_1,1.18,1.32,1.24,1.07,2.9,2.12,2.45,2.3,1.94,2.54,1.49,2.62,3.3,2.09,2.7,3.21
a_1,1.29,1.27,1.18,1.43,0.99,3.2,2.56,2.73,2.68,2.34,3.28,3.22,3.97,2.67,3.16,3.75
h_1,1.17,1.77,1.4,1.27,1.3,1.22,4.09,2.63,3.31,2.93,3.09,3.13,2.82,2.93,3.14,4.57
c_0,1.4,1.43,1.25,1.08,1.22,1.29,3.09,4.06,2.91,3.21,4.91,3.23,4.21,3.77,3.22,3.94
g_1,1.18,1.31,1.89,1.25,1.52,1.36,2.23,2.96,4.52,2.43,2.99,3.98,2.88,3.27,2.77,2.62
d_0,1.17,1.4,0.98,2.25,1.43,1.24,2.48,2.54,2.85,4.0,3.16,2.75,3.99,2.95,3.04,4.24
b_0,1.32,1.48,1.6,1.33,1.22,0.95,2.67,2.62,2.68,2.92,4.22,3.02,3.52,5.8,3.1,3.74
f_0,1.03,1.12,1.54,1.64,1.45,1.28,2.7,3.06,2.47,3.38,2.94,4.46,3.9,3.48,5.2,3.51
h_0,1.4,1.69,1.46,1.38,1.34,1.11,2.11,2.57,3.44,2.9,3.3,2.57,2.91,2.72,2.79,4.2
a_0,1.28,1.44,1.56,1.65,1.42,0.74,2.91,3.04,2.53,3.4,2.27,2.88,4.4,4.94,3.16,3.67
e_0,0.91,1.84,1.16,1.47,1.24,1.38,2.97,3.33,2.97,2.96,3.5,2.93,4.26,3.45,5.09,3.77
g_0,1.16,1.27,1.91,1.43,1.29,1.16,2.17,2.92,2.28,2.56,3.14,4.01,3.37,2.99,3.02,3.14
