,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,114.76,63.33,66.79,120.08,121.56,380.1,11941.84,12508.95,35584.95,22431.02,30448.26,44180.97,130257.49,122606.21,157943.06,261868.14
d_1,68.72,125.26,82.77,80.7,108.83,354.08,11600.55,11267.0,15637.25,30894.97,29259.21,40492.99,107270.97,131427.67,157360.72,251021.0
f_1,98.73,64.83,124.95,92.51,108.64,322.58,8334.24,11246.1,19822.51,20465.99,25544.31,33232.14,121375.02,113215.01,130078.45,278912.14
c_1,54.87,74.18,72.13,152.33,166.38,258.75,8884.14,11006.95,15310.62,13286.51,16771.4,28020.04,114399.64,102160.17,134725.16,219687.84
b_1,54.02,63.38,65.27,69.38,179.21,509.2,11101.01,10946.14,17740.01,18138.96,15165.36,31921.62,100774.34,75015.46,127345.9,218247.99
a_1,37.37,49.71,46.5,62.14,57.23,453.02,6530.37,8964.26,12622.95,12932.43,17819.83,26514.81,82498.47,55838.24,102255.14,159027.23
h_1,14.8,17.9,24.31,24.56,23.78,87.09,3776.28,3911.71,4878.38,5129.72,6811.04,9458.67,28741.53,26684.17,36880.92,76620.15
g_1,14.32,24.16,17.21,21.77,24.9,70.84,2202.26,4304.18,3997.19,5243.44,5874.93,12302.07,27111.88,24964.56,40099.47,48332.79
d_0,10.9,14.05,15.97,32.17,23.69,61.6,2300.53,2847.79,5361.88,3575.08,5517.59,7801.01,25972.53,22817.85,34866.04,50697.45
c_0,13.06,14.58,16.18,17.68,20.04,73.74,2329.05,2622.04,4406.98,5511.86,9066.0,10038.28,27652.11,27577.51,37525.93,53445.5
b_0,10.66,14.44,14.83,21.27,20.97,63.3,2016.83,2690.37,3887.37,3252.08,6622.04,8795.18,23776.77,35857.97,34032.43,49308.09
f_0,9.29,13.36,12.41,19.04,17.43,53.6,2021.7,2127.82,3711.94,3313.74,4197.27,9057.98,23418.82,18824.6,50313.74,38495.1
h_0,7.52,10.44,11.97,11.82,13.32,34.66,1058.87,1768.13,2484.43,2351.34,3303.87,4425.63,13128.53,14422.58,19569.14,37762.96
a_0,7.74,8.57,9.29,11.86,15.5,32.09,1466.88,1753.2,2352.2,2301.57,2891.26,5563.03,15867.78,19775.94,21146.14,30007.77
e_0,5.61,9.22,9.63,10.86,11.41,29.7,1261.1,1254.21,2222.71,2343.9,2953.64,3540.08,15264.74,12805.52,25981.88,28055.33
g_0,5.74,9.41,6.88,9.32,10.16,33.96,943.12,1156.8,1923.07,1987.69,2600.23,5210.52,11856.6,12139.93,18417.12,22326.2
