,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.19,0.94,0.81,0.59,0.48,0.6,0.47,0.38,0.4,0.43,0.35,0.3,0.39,0.33
f_1,1.21,1.0,1.02,0.92,0.88,0.76,0.37,0.41,0.46,0.36,0.4,0.37,0.3,0.27,0.25,0.3
c_1,0.84,0.98,1.0,1.13,1.25,0.68,0.5,0.34,0.46,0.34,0.35,0.38,0.35,0.32,0.27,0.31
d_1,1.06,1.09,0.89,1.0,0.98,0.77,0.49,0.51,0.39,0.53,0.41,0.37,0.38,0.33,0.31,0.25
b_1,1.24,1.13,0.8,1.02,1.0,1.29,0.5,0.47,0.48,0.47,0.41,0.41,0.42,0.37,0.35,0.29
a_1,1.69,1.33,1.46,1.31,0.78,1.0,0.68,0.56,0.62,0.55,0.6,0.49,0.57,0.51,0.37,0.43
h_1,2.11,2.66,2.02,2.06,1.86,1.49,1.0,0.89,1.13,0.8,0.8,0.85,0.67,0.65,0.56,0.8
d_0,1.76,2.42,3.0,1.95,2.11,1.77,1.19,1.0,0.93,0.81,0.9,0.85,0.79,0.67,0.79,0.74
g_1,2.15,2.16,2.19,2.63,2.01,1.63,0.87,1.06,1.0,0.91,0.96,1.11,0.68,0.72,0.76,0.76
c_0,2.57,2.7,3.06,1.83,2.04,1.75,1.25,1.23,1.05,1.0,1.45,0.99,0.95,0.74,0.92,0.82
b_0,2.4,2.61,2.9,2.52,2.03,1.64,1.26,1.08,1.06,0.71,1.0,0.94,0.95,1.15,0.98,0.74
f_0,2.24,2.8,2.54,2.5,2.49,2.05,1.28,1.19,0.9,1.01,1.12,1.0,0.9,0.78,1.27,0.76
h_0,2.7,3.44,2.75,2.74,2.24,1.72,1.41,1.22,1.44,1.06,1.09,1.09,1.0,0.83,0.86,0.97
a_0,3.17,3.76,3.09,3.04,2.97,2.31,1.53,1.46,1.31,1.43,0.91,1.22,1.15,1.0,0.97,0.87
e_0,3.08,4.36,3.44,3.11,2.79,2.82,1.8,1.26,1.35,1.11,1.01,0.83,1.23,0.97,1.0,1.08
g_0,3.17,3.28,3.09,4.27,3.32,2.34,1.28,1.35,1.34,1.26,1.4,1.37,1.0,1.1,0.96,1.0
