,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.87,0.15,0.09,0.09,0.07,0.04,0.07,0.07,0.06,0.07,0.06,0.01,0.09,0.05,0.06,0.03
e_1,0.11,0.87,0.07,0.08,0.07,0.05,0.07,0.16,0.06,0.07,0.08,0.07,0.08,0.03,0.07,0.02
d_1,0.12,0.09,0.88,0.05,0.07,0.04,0.08,0.01,0.05,0.16,0.08,0.06,0.07,0.06,0.06,0.04
c_1,0.09,0.09,0.08,0.87,0.14,0.04,0.07,0.06,0.06,0.01,0.06,0.09,0.06,0.05,0.05,0.04
b_1,0.09,0.09,0.07,0.1,0.87,0.1,0.07,0.09,0.05,0.07,0.01,0.06,0.06,0.03,0.06,0.03
a_1,0.1,0.09,0.09,0.08,0.05,0.87,0.11,0.09,0.06,0.06,0.09,0.06,0.1,0.01,0.05,0.04
h_1,0.23,0.16,0.17,0.16,0.1,0.04,0.52,0.11,0.14,0.11,0.1,0.1,0.05,0.06,0.13,0.08
d_0,0.14,0.14,0.05,0.32,0.12,0.08,0.16,0.38,0.08,0.1,0.13,0.12,0.11,0.06,0.12,0.11
g_1,0.14,0.16,0.27,0.11,0.13,0.04,0.11,0.1,0.52,0.14,0.12,0.2,0.14,0.08,0.03,0.08
c_0,0.18,0.16,0.15,0.07,0.11,0.1,0.12,0.12,0.11,0.37,0.25,0.14,0.15,0.1,0.13,0.09
b_0,0.19,0.17,0.18,0.14,0.05,0.07,0.14,0.12,0.09,0.14,0.36,0.12,0.13,0.19,0.1,0.1
f_0,0.05,0.12,0.21,0.17,0.13,0.09,0.15,0.15,0.12,0.15,0.18,0.39,0.14,0.11,0.1,0.2
h_0,0.2,0.15,0.19,0.12,0.12,0.07,0.06,0.12,0.12,0.11,0.14,0.11,0.04,0.08,0.12,0.07
a_0,0.15,0.19,0.15,0.16,0.12,0.03,0.15,0.12,0.1,0.13,0.13,0.13,0.13,0.34,0.14,0.07
g_0,0.15,0.13,0.23,0.18,0.1,0.08,0.13,0.12,,0.11,0.14,0.16,0.12,0.06,0.04,0.07
e_0,0.14,0.06,0.15,0.22,0.17,0.07,0.13,0.14,0.11,0.12,0.21,0.16,0.18,0.07,0.15,0.34
