,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,1.34,0.83,0.9,0.82,0.63,0.8,1.14,0.99,0.87,0.9,0.65,0.99,0.85,0.55,0.93
e_1,0.88,1.53,0.8,1.05,0.88,0.74,1.1,1.6,0.9,0.91,0.98,1.01,1.14,1.04,0.78,1.07
d_1,1.08,0.91,1.57,0.81,0.81,0.77,0.93,0.79,1.68,0.74,1.22,1.0,1.21,0.9,0.9,0.96
c_1,0.97,0.87,0.85,1.57,1.37,0.76,1.02,0.81,0.87,0.89,0.68,0.91,0.98,0.79,0.93,0.95
b_1,0.9,0.86,0.95,0.77,1.59,1.35,1.12,1.07,0.99,1.06,0.84,0.95,1.2,0.74,0.76,1.01
a_1,1.1,0.93,1.05,0.96,0.81,1.73,1.32,1.3,1.15,1.15,1.22,1.2,1.33,0.78,1.1,1.33
h_1,1.56,1.08,1.29,1.17,0.92,0.8,1.84,1.22,1.31,1.39,1.26,1.15,1.12,0.99,1.08,1.57
d_0,1.18,1.01,1.0,1.99,1.19,0.8,1.33,1.71,0.91,1.13,1.26,1.19,1.44,1.03,1.1,1.19
c_0,1.31,1.31,1.09,0.9,1.02,0.98,1.41,1.62,1.77,1.27,2.22,1.16,1.53,1.32,1.23,1.46
g_1,1.1,1.1,1.82,1.21,1.05,0.85,1.2,1.26,1.34,1.93,1.27,1.77,1.5,1.08,1.26,1.14
b_0,1.46,1.28,1.26,1.35,0.82,0.79,1.31,1.33,1.16,1.34,1.85,1.28,1.56,2.02,1.32,1.41
f_0,1.21,1.06,1.38,1.28,1.23,0.98,1.45,1.44,1.52,1.16,1.45,1.85,1.63,1.14,2.13,1.22
h_0,1.58,1.22,1.33,1.27,1.14,0.93,1.28,1.45,1.48,1.41,1.4,1.33,1.18,1.13,1.04,1.73
a_0,1.34,1.18,1.48,1.36,1.24,0.71,1.41,1.52,1.57,1.4,1.39,1.58,1.71,1.86,1.3,1.65
e_0,1.56,0.95,1.32,1.3,1.4,1.02,1.42,1.39,1.57,1.27,1.54,1.23,1.96,1.24,1.92,1.44
g_0,1.19,1.11,1.79,1.29,1.19,0.95,1.38,1.56,1.44,1.24,1.41,2.14,1.46,1.35,1.34,1.25
