,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,2.44,0.96,1.03,1.54,1.12,1.11,2.53,4.09,2.06,2.19,2.8,3.07,2.97,2.32,2.43,3.03
f_1,2.01,2.5,1.01,0.86,0.93,0.91,1.83,2.2,2.07,2.67,1.56,2.08,2.86,1.73,3.01,2.71
d_1,1.02,1.32,2.56,0.99,1.14,1.04,2.17,1.57,2.16,3.88,2.51,2.65,2.87,2.57,2.27,2.68
c_1,0.84,1.12,1.15,2.55,1.96,1.09,2.22,2.04,1.88,1.17,2.52,1.87,3.19,2.38,2.08,3.26
b_1,1.07,1.13,1.19,0.98,2.72,2.02,2.12,2.39,1.91,2.38,2.48,1.84,3.24,2.67,2.03,3.22
a_1,1.05,1.49,1.25,1.19,0.84,3.22,2.02,2.64,2.35,1.89,2.28,2.7,3.66,3.12,2.18,3.06
h_1,1.03,1.64,1.34,1.3,1.16,1.06,3.97,2.37,3.16,2.48,2.59,2.74,2.42,2.7,3.01,4.5
d_0,1.0,1.22,0.98,2.07,1.28,1.18,2.6,3.74,2.55,1.97,2.96,3.09,3.29,2.96,3.27,3.48
g_1,1.13,1.16,1.64,1.38,1.3,1.2,2.17,2.12,4.34,2.5,3.87,2.36,2.93,2.7,2.65,2.53
c_0,1.46,1.31,1.27,0.95,0.9,1.37,2.7,3.14,2.38,3.99,2.91,4.54,3.37,2.66,3.27,3.71
f_0,0.98,0.99,1.35,1.51,1.34,1.36,2.47,2.79,2.46,2.42,4.23,2.88,3.23,5.05,3.25,3.06
b_0,1.13,1.57,1.16,1.55,0.69,0.83,2.64,2.64,2.91,2.23,2.6,4.41,3.29,3.35,5.52,3.7
h_0,1.21,1.61,1.27,1.24,1.08,1.21,2.13,2.88,3.08,2.7,2.76,2.73,2.68,2.56,2.58,4.02
e_0,0.83,1.6,1.19,1.37,1.1,1.09,2.76,2.71,2.72,2.93,2.14,2.66,4.24,5.01,3.78,3.76
a_0,1.47,1.2,1.33,1.45,1.24,0.78,2.75,2.67,2.62,3.07,2.49,2.42,3.31,2.28,4.75,3.29
g_0,1.09,1.2,1.94,1.16,1.21,1.22,2.11,2.4,2.11,3.09,4.05,2.56,3.26,2.81,3.34,2.7
