,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.47,0.16,0.1,0.1,0.07,0.09,0.36,0.34,0.24,0.4,0.31,,0.5,0.19,0.42,0.24
e_1,0.1,5.53,0.06,0.04,0.06,0.07,0.3,0.69,0.27,0.35,0.44,0.39,0.63,,0.53,0.51
c_1,0.08,0.09,6.24,0.08,0.14,0.1,0.28,0.41,0.29,,0.27,0.34,0.59,0.33,0.32,0.66
d_1,0.1,0.08,0.06,6.98,0.06,0.06,0.34,,0.3,0.79,0.41,0.29,0.79,0.4,0.31,0.64
b_1,0.09,0.07,0.06,0.09,7.45,0.15,0.23,0.36,0.33,0.3,,0.46,0.71,0.45,0.26,0.65
a_1,0.08,0.08,0.07,0.09,0.06,10.28,0.32,0.38,0.25,,0.38,0.45,0.86,0.49,,0.6
h_1,0.39,0.3,0.27,0.32,0.34,0.27,13.89,1.28,1.27,1.79,1.37,1.32,,1.67,1.15,2.47
d_0,0.42,0.37,0.78,,0.28,0.28,1.47,11.3,1.23,1.72,1.78,1.72,3.45,2.19,2.5,3.08
g_1,0.32,0.18,0.29,0.42,0.35,0.25,1.06,1.23,18.35,1.52,1.53,1.96,1.99,1.6,1.52,
c_0,0.42,0.37,,0.43,0.28,0.33,1.29,1.27,1.4,13.11,4.74,2.44,3.48,1.95,1.97,2.9
b_0,0.35,0.5,0.29,0.28,,0.41,1.69,2.22,1.53,2.18,14.95,1.98,2.7,1.74,3.52,3.04
f_0,,0.27,0.4,0.46,0.43,0.31,1.54,2.78,1.74,1.41,2.16,16.56,2.2,3.38,1.58,3.17
h_0,0.59,0.41,0.52,0.64,0.73,0.52,,3.11,2.65,3.99,3.05,2.82,,4.06,,6.28
e_0,0.26,,0.59,0.33,0.45,0.52,2.2,1.55,1.8,2.38,1.49,1.43,3.04,21.14,1.99,3.12
a_0,0.33,0.35,0.48,0.33,0.43,,1.61,2.77,1.62,2.08,1.38,,3.42,,22.16,3.16
g_0,0.4,0.53,0.57,1.02,0.68,,2.2,2.66,,2.77,2.31,5.58,2.95,4.16,,
