,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.1,1.75,3.03,3.46,3.31,2.63,0.85,0.68,1.01,0.66,0.65,0.83,0.42,0.62,0.47,1.11
f_1,2.89,1.1,2.77,3.24,3.22,2.67,0.67,0.62,0.97,0.57,0.65,0.82,0.33,0.54,0.57,0.58
d_1,3.29,3.22,1.09,3.9,3.23,3.43,0.85,1.29,0.59,0.61,0.62,0.66,0.41,0.58,0.29,0.58
c_1,3.07,3.47,4.64,1.11,3.33,3.11,1.13,0.38,1.01,1.07,0.74,0.7,0.48,0.64,0.48,0.53
b_1,4.37,4.61,4.77,2.07,1.11,3.87,1.27,0.79,1.25,1.37,1.59,0.8,0.64,0.87,0.65,0.82
a_1,5.37,6.92,6.37,4.8,2.71,1.12,1.5,1.37,1.91,1.27,1.39,1.26,1.01,2.39,0.83,0.92
h_1,12.09,13.16,11.21,11.84,10.7,11.37,1.64,2.76,3.87,2.21,2.49,2.42,2.72,2.31,1.91,2.59
d_0,9.13,13.57,25.81,13.6,14.78,13.94,4.34,2.0,4.67,3.57,2.8,3.04,2.11,3.01,2.36,3.14
g_1,17.08,15.96,12.17,16.12,16.36,13.13,3.34,3.72,1.62,2.84,3.24,2.86,1.66,2.73,2.86,2.59
c_0,15.65,16.18,8.02,26.5,15.71,17.39,4.51,5.52,3.57,1.9,3.41,3.51,2.44,2.8,2.5,3.45
b_0,15.39,15.14,14.08,20.57,26.18,18.5,4.39,3.51,4.42,1.91,1.93,3.07,2.19,2.65,2.35,2.86
f_0,16.77,26.92,16.78,16.63,15.1,15.07,4.44,3.72,3.04,3.34,3.31,1.87,2.04,2.8,1.51,3.29
h_0,22.04,22.18,21.56,23.51,23.1,19.76,8.73,4.64,6.41,4.46,4.21,4.56,4.4,3.47,3.19,4.08
a_0,28.65,27.55,22.27,25.63,35.24,37.69,7.56,5.1,7.43,4.76,3.04,5.42,4.11,2.39,4.01,5.55
g_0,25.68,32.06,24.87,26.73,32.34,25.12,5.19,5.9,10.06,4.98,5.07,4.87,3.16,5.23,3.84,6.23
e_0,38.39,34.92,27.7,26.5,22.17,23.39,7.15,5.34,6.29,4.98,4.78,2.83,3.75,4.95,2.73,2.26
