,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.28,0.59,0.46,0.58,0.41,0.31,0.83,1.96,0.96,0.84,0.96,0.87,1.3,0.7,1.16,0.28
f_1,0.89,2.34,0.47,0.43,0.41,0.32,0.83,0.93,1.07,0.87,1.03,0.39,1.12,0.82,1.14,0.73
d_1,0.49,0.61,2.37,0.44,0.35,0.37,1.0,0.44,1.87,0.65,1.26,1.05,1.09,0.85,1.12,0.79
c_1,0.47,0.51,0.38,2.43,0.88,0.38,0.75,1.1,0.29,0.73,0.61,0.88,1.27,0.57,1.04,0.91
b_1,0.49,0.42,0.52,0.45,2.54,0.74,0.83,0.88,0.97,0.7,0.37,0.86,1.09,0.74,1.08,0.79
a_1,0.44,0.43,0.57,0.55,0.43,3.04,1.02,0.92,1.06,0.7,1.09,1.06,1.27,0.49,1.06,0.9
h_1,0.48,0.82,0.72,0.53,0.49,0.41,2.99,1.27,1.28,1.39,1.11,0.91,0.67,0.98,1.77,0.98
d_0,0.53,0.62,0.3,1.1,0.64,0.41,1.08,2.5,0.89,1.18,1.19,1.04,1.63,0.76,1.28,1.04
c_0,0.54,0.62,0.73,0.38,0.44,0.47,1.29,1.23,2.56,1.12,2.57,1.25,1.35,1.41,1.44,1.05
g_1,0.63,0.6,0.85,0.52,0.45,0.34,1.04,1.21,1.22,3.21,1.16,1.91,1.31,0.88,0.84,1.12
b_0,0.64,0.66,0.65,0.6,0.31,0.32,0.98,1.17,1.3,1.09,2.75,1.2,1.94,2.06,1.33,1.07
f_0,0.49,0.43,0.69,0.64,0.62,0.53,1.4,1.25,1.21,1.01,1.38,2.91,1.73,1.05,1.56,2.03
h_0,0.62,0.88,0.65,0.57,0.53,0.41,0.65,1.25,1.27,1.32,1.05,1.22,0.94,1.08,1.86,0.78
a_0,0.67,0.56,0.62,0.64,0.55,0.24,1.37,1.19,1.23,1.16,1.5,1.06,1.72,3.18,1.56,1.01
g_0,0.58,0.46,1.17,0.6,0.54,0.31,1.04,1.04,1.27,0.6,1.28,1.88,1.42,0.95,0.77,0.94
e_0,0.3,0.62,0.72,0.61,0.57,0.51,1.33,1.04,1.29,1.19,1.23,1.24,1.91,1.17,1.76,2.97
