,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.29,1.45,0.77,0.8,0.64,0.54,1.49,1.23,1.46,1.77,1.54,0.84,2.01,1.13,1.57,0.98
e_1,1.01,2.3,0.62,1.07,0.69,0.58,1.63,1.42,1.64,3.09,1.69,1.49,2.17,1.64,1.79,0.92
d_1,0.98,0.75,2.41,0.68,0.68,0.6,1.67,1.48,3.13,1.1,2.04,1.8,2.33,1.53,2.09,1.23
c_1,0.8,0.76,0.85,2.49,1.37,0.56,1.52,1.38,0.86,1.56,1.23,1.71,2.05,1.44,1.62,1.33
b_1,0.8,0.8,0.95,0.77,2.74,1.33,1.43,1.27,1.46,1.57,0.99,1.44,2.03,1.12,2.04,1.37
a_1,0.87,0.9,1.06,0.69,0.76,3.18,1.51,1.28,1.76,1.26,1.7,1.74,2.48,0.91,2.35,1.59
h_1,1.22,0.94,1.02,0.87,0.83,0.62,3.2,1.92,1.68,1.78,1.86,1.83,1.98,1.34,2.75,1.56
g_1,0.97,0.76,1.36,0.91,0.79,0.7,1.56,3.57,1.73,1.4,1.67,2.4,2.09,1.47,1.47,1.75
c_0,1.07,1.03,1.01,0.73,0.61,0.63,1.95,1.65,3.15,1.6,3.49,2.17,2.59,1.91,2.7,1.77
d_0,0.91,0.9,0.58,1.68,0.89,0.7,1.63,1.41,1.43,2.96,1.54,1.97,2.13,1.33,1.88,1.47
b_0,1.14,1.03,0.88,0.94,0.52,0.51,1.94,1.59,2.0,2.05,3.25,1.98,2.83,3.35,2.54,2.01
f_0,0.76,0.74,1.08,0.96,0.86,0.87,1.92,1.66,2.06,1.88,1.91,3.36,2.29,1.68,2.06,3.46
h_0,1.32,0.93,0.95,0.93,0.64,0.68,1.31,1.94,1.88,1.74,1.82,1.63,1.53,1.64,2.81,1.46
a_0,1.13,0.88,0.95,0.91,0.91,0.55,1.91,1.62,2.01,2.16,1.49,2.22,2.8,3.39,2.22,1.95
g_0,0.83,0.83,1.45,0.92,0.66,0.69,1.63,1.36,2.15,1.66,1.98,2.79,2.68,1.68,1.81,1.52
e_0,0.97,0.79,1.04,0.97,0.84,0.85,1.53,1.42,1.82,1.98,2.12,2.12,2.73,1.61,2.55,3.67
