,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.77,3.02,2.7,3.64,2.76,2.59,10.45,11.55,9.62,21.82,13.09,12.88,20.58,13.02,11.3,21.62
f_1,4.39,6.11,2.39,2.94,2.65,2.82,9.55,10.44,9.09,13.65,12.69,8.85,19.76,12.93,9.35,17.51
d_1,2.72,2.86,6.46,2.17,2.77,3.01,11.09,21.92,11.04,10.85,15.73,14.18,21.97,15.68,16.57,22.03
c_1,2.68,2.63,2.81,7.5,5.12,3.12,9.15,8.46,10.38,12.27,11.28,13.69,18.99,11.06,13.37,19.51
b_1,2.44,2.88,2.89,3.16,8.61,5.64,9.77,11.18,10.71,12.37,9.36,12.98,20.54,10.29,12.93,19.44
a_1,2.82,2.9,2.86,2.84,2.86,10.38,12.01,12.32,12.41,11.92,14.02,15.81,22.48,11.95,17.13,20.18
h_1,2.67,3.92,3.21,2.79,3.12,2.7,18.85,13.16,13.18,13.91,14.16,15.26,16.54,15.79,16.59,28.01
c_0,2.84,3.35,3.27,2.57,2.8,2.98,12.43,20.08,13.09,15.81,25.86,15.81,24.68,19.97,16.75,24.16
g_1,2.6,2.78,4.44,2.57,3.45,3.39,10.13,15.17,22.81,12.54,14.16,18.08,20.13,15.95,16.09,15.96
d_0,2.88,3.08,2.25,5.12,3.74,2.88,10.3,9.96,11.63,19.15,14.33,14.57,22.07,14.44,14.58,22.42
b_0,3.24,3.3,3.34,3.23,2.68,1.94,11.46,13.86,11.22,14.02,21.96,15.2,21.29,29.59,16.61,22.86
f_0,2.36,2.47,3.19,3.49,3.56,3.46,12.0,14.46,12.12,16.72,15.2,23.53,22.36,17.46,30.64,22.97
h_0,3.13,3.71,3.05,2.97,3.29,2.97,7.65,12.57,13.58,14.69,15.34,12.9,17.31,15.09,14.96,25.48
a_0,2.88,3.37,3.43,3.46,3.41,1.68,11.86,14.96,12.06,15.13,13.6,15.05,24.35,28.17,15.38,21.13
e_0,2.54,3.93,2.75,3.08,3.23,3.43,12.19,15.08,11.53,14.39,15.7,15.7,23.49,16.95,29.98,24.29
g_0,2.55,2.82,4.16,3.26,3.16,2.87,10.58,14.22,9.76,13.43,16.1,21.45,20.89,15.24,16.63,16.92
