,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.26,1.06,1.28,1.66,3.12,18.67,21.72,39.48,27.33,39.93,49.41,70.41,90.49,86.39,85.56
e_1,0.79,1.0,0.77,1.42,1.63,3.64,23.49,33.53,29.81,42.32,43.38,53.03,74.03,105.15,105.18,131.3
f_1,0.94,1.3,1.0,1.14,1.17,3.1,16.68,22.95,23.21,25.85,32.24,46.79,52.76,78.26,85.69,101.64
c_1,0.78,0.71,0.88,1.0,1.75,2.57,17.92,25.08,24.17,17.55,18.45,35.16,57.54,96.06,79.69,104.78
b_1,0.6,0.62,0.86,0.57,1.0,2.92,9.56,15.64,18.26,20.41,23.94,31.93,41.19,67.74,47.85,62.13
a_1,0.32,0.27,0.32,0.39,0.34,1.0,5.53,7.36,8.65,8.67,13.54,17.22,22.11,24.75,,29.26
h_1,0.06,0.04,0.06,0.06,0.11,0.18,1.0,2.02,1.56,1.43,1.83,2.98,3.56,6.14,5.12,5.79
g_1,0.05,0.03,0.04,0.04,0.06,0.13,0.5,1.0,0.81,0.9,1.29,2.17,1.51,2.68,3.74,3.76
c_0,0.03,0.03,0.05,0.05,0.06,0.11,0.63,1.24,1.0,1.12,1.81,1.76,2.75,3.74,4.44,3.82
d_0,0.04,0.02,0.04,0.06,0.05,0.11,0.71,1.18,0.88,1.0,1.09,1.93,2.23,3.5,3.69,3.78
b_0,0.03,0.02,0.03,0.06,0.04,0.07,0.53,0.75,0.55,0.93,1.0,1.27,1.81,2.61,4.49,2.8
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.33,0.47,0.59,0.55,0.8,1.0,1.33,1.54,2.1,2.79
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.31,0.66,0.38,0.44,0.53,0.72,1.0,1.82,1.16,1.74
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.38,0.26,0.28,0.35,0.68,0.54,1.0,1.04,1.25
a_0,0.01,0.01,0.01,0.01,0.02,,0.19,0.28,0.22,0.28,0.24,0.48,0.9,0.97,1.0,1.07
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.26,0.26,0.28,0.37,0.37,0.56,0.79,0.98,1.0
