,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.06,1.28,2.48,3.09,2.27,2.12,1.11,0.87,0.9,0.61,0.81,0.75,0.56,0.93,0.51,0.61
f_1,2.77,1.06,1.97,2.31,2.29,1.56,0.67,0.79,0.89,0.69,0.99,0.52,0.43,0.48,0.66,0.55
d_1,2.7,2.73,1.06,2.37,2.2,1.89,0.88,1.09,0.67,0.78,0.67,0.76,0.54,0.67,0.59,0.35
c_1,1.82,3.12,2.77,1.06,2.67,2.02,0.86,0.46,0.8,0.95,0.65,0.62,0.56,0.57,0.54,0.57
b_1,2.73,3.3,2.62,1.53,1.07,3.26,1.07,0.86,0.99,1.06,0.73,1.42,0.68,0.71,0.69,0.62
a_1,3.61,4.32,3.71,3.63,1.87,1.07,1.5,1.25,1.4,1.07,0.88,1.49,0.86,1.05,1.63,0.86
h_1,5.42,6.67,5.86,5.58,5.76,5.29,1.35,1.73,2.43,1.77,1.79,1.59,1.49,1.46,1.3,1.45
d_0,4.13,6.87,9.65,7.88,6.62,5.63,2.75,1.54,2.95,1.76,2.14,1.98,1.44,1.82,1.89,1.61
g_1,7.15,7.01,6.86,7.59,7.54,5.7,1.91,1.89,1.34,2.17,2.27,1.63,1.18,1.53,1.53,1.83
c_0,7.76,6.47,4.38,12.26,6.21,8.87,3.01,3.01,2.78,1.5,2.29,2.28,1.58,1.73,1.64,1.46
f_0,6.79,11.38,8.24,8.16,7.43,6.98,3.03,2.26,2.07,2.25,1.52,2.35,1.67,2.54,2.17,1.15
b_0,6.92,8.75,7.0,11.34,9.53,6.51,3.01,2.19,3.55,1.52,2.27,1.5,1.89,2.44,2.41,1.88
h_0,9.97,9.76,9.94,9.38,8.35,6.75,4.92,3.03,3.96,2.94,3.06,3.02,2.78,2.06,2.52,2.19
e_0,11.95,15.03,10.21,11.41,8.89,8.04,4.42,3.44,4.17,3.52,1.77,2.63,2.72,1.59,3.28,2.29
a_0,11.98,9.52,11.72,13.12,13.16,9.69,3.81,3.11,4.12,3.35,2.69,1.79,2.85,2.04,1.69,2.01
g_0,11.14,12.15,12.64,10.4,10.17,9.98,3.04,3.29,5.42,3.31,3.7,2.91,2.11,2.55,2.98,3.01
