,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.16,0.24,0.49,0.54,0.51,0.45,0.14,0.11,0.15,0.09,0.13,0.1,0.07,0.13,0.08,0.09
f_1,0.44,0.16,0.41,0.49,0.49,0.35,0.09,0.11,0.14,0.09,0.14,0.08,0.05,0.09,0.09,0.07
d_1,0.5,0.52,0.15,0.49,0.42,0.41,0.11,0.14,0.08,0.09,0.09,0.1,0.06,0.09,0.08,0.04
c_1,0.35,0.53,0.64,0.15,0.43,0.39,0.13,0.05,0.13,0.14,0.08,0.09,0.07,0.08,0.08,0.07
b_1,0.45,0.6,0.46,0.24,0.13,0.51,0.14,0.09,0.14,0.15,0.1,0.16,0.08,0.11,0.09,0.06
a_1,0.51,0.56,0.49,0.48,0.21,0.09,0.16,0.11,0.13,0.11,0.08,0.16,0.06,0.11,0.16,0.07
h_1,0.4,0.41,0.39,0.38,0.38,0.42,0.06,0.08,0.13,0.08,0.08,0.08,0.07,0.07,0.06,0.06
d_0,0.25,0.39,0.6,0.43,0.43,0.36,0.14,0.06,0.15,0.08,0.09,0.08,0.06,0.09,0.08,0.07
g_1,0.45,0.44,0.43,0.47,0.37,0.39,0.08,0.08,0.05,0.09,0.08,0.07,0.04,0.06,0.06,0.06
c_0,0.43,0.38,0.21,0.82,0.43,0.5,0.13,0.13,0.12,0.05,0.09,0.09,0.06,0.08,0.07,0.06
f_0,0.35,0.55,0.42,0.4,0.43,0.34,0.12,0.08,0.07,0.08,0.05,0.08,0.06,0.09,0.08,0.04
b_0,0.35,0.38,0.32,0.58,0.58,0.4,0.11,0.08,0.12,0.05,0.08,0.05,0.06,0.08,0.07,0.06
h_0,0.39,0.38,0.39,0.41,0.37,0.32,0.15,0.08,0.13,0.08,0.09,0.09,0.07,0.07,0.08,0.06
e_0,0.49,0.6,0.36,0.43,0.34,0.35,0.11,0.09,0.11,0.09,0.04,0.07,0.06,0.03,0.08,0.05
a_0,0.4,0.36,0.37,0.52,0.49,0.51,0.11,0.07,0.12,0.06,0.07,0.04,0.07,0.06,0.04,0.05
g_0,0.42,0.44,0.36,0.41,0.36,0.38,0.08,0.09,0.15,0.08,0.08,0.08,0.05,0.07,0.08,0.07
