,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.39,1.41,1.39,1.86,1.46,1.33,2.94,2.74,5.0,3.19,3.38,3.43,4.02,3.39,4.38,3.1
f_1,2.1,2.43,1.39,1.45,1.32,1.43,2.38,2.84,3.19,2.74,3.33,2.23,3.64,3.16,3.37,2.7
d_1,1.48,1.6,2.59,1.34,1.3,1.48,3.13,2.61,2.68,4.95,3.75,3.43,4.2,3.28,3.86,3.53
c_1,1.28,1.42,1.47,2.6,2.5,1.33,2.79,2.9,2.73,2.28,2.28,3.12,3.77,3.2,3.5,3.28
b_1,1.41,1.66,1.57,1.15,2.81,2.52,2.72,2.76,2.6,3.42,2.55,3.15,4.14,2.83,3.81,3.24
a_1,1.54,1.5,1.69,1.46,1.32,3.39,3.2,2.72,3.39,3.58,3.32,3.54,4.72,2.69,4.36,3.85
h_1,1.46,1.98,1.55,1.57,1.6,1.26,4.19,3.73,3.23,2.82,3.51,3.06,3.78,3.73,5.07,3.32
g_1,1.4,1.44,2.17,1.49,1.43,1.55,2.87,4.58,2.64,2.88,3.32,4.52,3.88,3.37,3.89,4.06
d_0,1.27,1.5,1.25,2.43,1.84,1.37,2.95,2.96,4.16,2.73,3.22,3.23,5.01,3.42,4.45,3.84
c_0,1.6,1.8,1.35,1.54,1.26,1.6,3.11,3.22,3.77,4.34,5.77,3.29,4.58,3.75,4.57,4.29
b_0,1.59,1.66,1.57,1.99,1.22,1.09,3.28,3.42,3.47,2.81,4.66,3.58,4.03,6.0,4.42,3.94
f_0,1.39,1.43,1.64,1.7,1.56,1.51,3.31,2.98,3.3,3.48,3.54,4.77,4.91,4.01,4.66,6.22
h_0,1.56,2.0,1.6,1.5,1.51,1.4,2.47,3.68,2.68,3.12,3.52,3.1,3.42,3.31,5.73,3.4
a_0,1.48,1.65,1.71,1.82,1.47,1.19,3.14,3.07,3.45,3.35,3.24,3.68,4.88,5.35,4.41,3.46
g_0,1.47,1.68,2.07,1.56,1.36,1.54,2.63,2.76,2.68,3.12,3.65,4.34,3.79,3.83,4.02,3.75
e_0,1.18,1.73,1.66,1.66,1.67,1.57,3.38,3.14,3.22,3.34,3.44,2.94,4.73,3.99,4.32,5.5
