,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.4,0.34,0.24,0.27,0.29,0.22,0.55,0.48,1.07,,0.66,0.55,0.83,0.82,0.42,0.41
e_1,0.18,2.41,0.24,0.3,0.26,0.33,0.55,0.57,0.59,0.94,0.69,0.59,0.79,0.79,0.57,
f_1,0.31,0.44,2.46,0.33,0.22,0.24,0.61,0.3,0.61,0.65,0.58,,0.78,0.55,0.58,0.66
c_1,0.24,0.28,0.28,2.55,0.38,0.27,0.67,0.59,,0.55,0.35,0.5,0.98,0.78,0.74,0.87
b_1,0.29,0.32,0.35,0.23,2.72,0.41,0.52,0.47,0.58,0.69,,0.61,0.78,0.79,,0.55
a_1,0.31,0.3,0.28,0.32,0.24,3.29,0.43,0.42,0.69,0.55,0.64,0.69,0.87,0.71,,
h_1,0.5,0.37,0.55,0.46,0.66,0.49,3.81,1.72,1.47,0.99,1.2,1.12,,1.93,1.1,1.02
g_1,0.83,0.41,0.65,0.46,0.61,0.75,0.8,4.21,0.98,1.12,1.48,1.68,0.87,,,
c_0,0.5,0.65,0.59,,0.53,0.46,1.31,1.22,3.43,1.34,2.46,1.17,1.8,1.72,1.64,1.7
d_0,,0.52,0.68,0.96,0.56,0.62,1.47,1.02,1.12,3.54,1.21,1.46,1.78,1.8,1.68,1.23
b_0,0.59,0.51,0.6,0.87,,0.44,0.93,1.21,1.08,1.8,3.77,1.45,1.58,1.82,2.6,
f_0,0.7,0.68,,0.58,0.56,0.61,1.17,0.95,1.73,1.35,1.34,4.0,2.08,1.25,1.58,1.9
h_0,0.68,0.68,0.94,0.66,0.83,0.64,,2.51,1.66,1.68,1.8,1.28,,2.67,,2.11
g_0,0.94,0.72,0.9,0.66,0.66,0.85,1.44,,1.77,1.49,1.31,2.92,1.66,,,1.93
a_0,0.8,0.6,0.62,0.68,,,1.42,,1.12,0.96,0.94,1.49,,,4.78,
e_0,0.94,,0.52,0.45,0.71,,1.5,,1.18,1.54,,1.38,1.69,1.33,,4.93
