,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,1.09,1.6,1.63,3.21,26.78,31.01,39.84,32.97,44.71,48.39,73.62,84.07,116.16,141.58
f_1,1.13,1.0,0.96,1.1,1.38,2.85,19.12,25.17,29.87,32.78,37.38,36.88,53.38,80.08,72.28,127.25
d_1,0.9,1.06,1.0,0.89,1.27,2.75,20.22,19.29,24.18,38.94,35.18,32.67,66.48,69.46,89.08,91.93
c_1,0.63,0.92,1.13,1.0,1.87,2.54,20.88,21.26,17.02,25.22,25.88,32.85,53.63,65.35,75.72,105.87
b_1,0.64,0.71,0.78,0.55,1.0,3.08,14.26,17.1,18.27,25.58,30.76,29.02,44.64,44.23,66.37,88.15
a_1,0.3,0.34,0.37,0.38,0.33,1.0,8.36,8.35,9.36,10.38,15.28,15.78,21.86,26.56,32.75,37.5
h_1,0.04,0.05,0.05,0.05,0.07,0.13,1.0,1.4,1.15,1.43,1.65,1.73,2.74,3.18,3.91,5.49
g_1,0.03,0.04,0.05,0.05,0.06,0.12,0.71,1.0,0.97,1.3,1.33,2.11,2.23,3.05,4.47,4.98
d_0,0.03,0.03,0.04,0.06,0.05,0.11,0.87,1.0,1.0,0.98,1.55,1.6,2.48,3.02,3.69,4.7
c_0,0.03,0.03,0.03,0.04,0.04,0.09,0.71,0.73,1.0,1.0,1.55,1.27,2.1,2.72,3.22,3.85
b_0,0.02,0.03,0.03,0.04,0.03,0.06,0.59,0.68,0.66,0.67,1.0,1.11,1.71,3.0,2.46,3.43
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.58,0.49,0.67,0.75,0.89,1.0,1.65,2.07,3.63,2.72
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.38,0.45,0.38,0.48,0.56,0.59,1.0,1.31,1.51,2.07
a_0,0.01,0.01,0.01,0.01,0.02,0.04,0.31,0.32,0.35,0.38,0.35,0.51,0.75,1.0,1.21,1.56
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.25,0.22,0.28,0.32,0.44,0.29,0.67,0.91,1.0,1.18
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.19,0.21,0.26,0.3,0.37,0.49,0.65,0.88,1.0
