,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.84,0.93,1.21,1.01,1.02,1.07,1.35,1.06,0.92,0.95,1.09,1.05,1.07,0.99,1.12
f_1,1.22,1.0,0.92,1.0,1.0,0.89,0.82,1.02,1.03,0.91,0.98,0.82,0.85,0.76,0.96,1.01
d_1,1.03,1.09,1.0,0.92,0.94,0.86,1.01,1.01,0.83,1.23,1.06,0.98,1.02,1.1,1.02,0.82
c_1,0.82,1.0,1.1,1.0,1.31,0.99,1.03,0.7,1.05,0.92,0.85,1.01,1.0,0.93,0.91,0.98
b_1,1.01,0.98,1.05,0.76,1.0,1.43,1.01,0.97,1.07,1.07,1.17,1.07,1.13,1.0,0.98,0.99
a_1,0.98,1.12,1.16,0.99,0.71,1.0,1.14,0.95,1.03,1.13,1.14,1.05,1.08,1.11,1.3,1.17
h_1,0.97,1.14,0.98,1.0,0.98,0.86,1.0,1.01,1.2,0.92,0.95,0.85,1.0,0.92,0.9,1.07
d_0,0.76,0.99,1.0,1.45,1.05,1.01,1.04,1.0,1.01,0.84,0.93,1.01,0.99,1.01,0.92,1.16
g_1,0.93,1.02,1.17,0.96,0.92,0.94,0.82,0.95,1.0,1.0,0.99,1.16,0.93,1.05,0.95,1.05
c_0,1.1,1.11,0.83,1.09,0.9,0.85,1.1,1.17,0.97,1.0,1.29,1.01,1.01,1.11,1.18,0.94
b_0,1.06,1.01,0.95,1.22,0.91,0.8,1.08,1.08,1.04,0.78,1.0,1.0,1.06,1.06,1.43,1.02
f_0,0.9,1.17,1.02,1.04,0.98,0.97,1.15,0.96,0.88,1.0,1.02,1.0,1.03,1.37,0.9,0.89
h_0,0.96,1.15,1.01,0.99,0.89,0.9,1.0,0.98,1.07,0.97,0.98,1.01,1.0,1.03,1.01,1.22
e_0,0.98,1.29,0.89,1.14,1.02,0.85,1.07,0.95,0.93,0.97,0.93,0.78,1.03,1.0,0.99,0.99
a_0,1.02,1.03,0.94,1.08,1.05,0.79,1.15,1.04,1.04,0.87,0.72,1.16,0.96,1.09,1.0,1.0
g_0,0.95,0.96,1.17,1.04,1.02,0.85,0.95,0.85,0.93,1.05,1.01,1.15,0.85,1.01,0.93,1.0
